model,dataset,horizon,mae,rmse,pcc,r2
msagat,japan,3,339.9872,1120.9493,0.8711,0.7016
msagat,japan,5,381.9680,1114.2127,0.8823,0.7052
msagat,japan,10,468.9879,1355.1997,0.8435,0.5638
msagat,nhs_timeseries,3,3.9839,4.9353,0.9962,0.9850
msagat,japan,15,593.8915,1458.5320,0.8054,0.4948
msagat,nhs_timeseries,7,13.0852,16.0124,0.9729,0.8422
msagat,region785,3,327.2301,643.5212,0.8957,0.7961
msagat,nhs_timeseries,3,3.9839,4.9353,0.9962,0.9850
msagat,region785,5,480.0474,880.8277,0.7880,0.6180
msagat,nhs_timeseries,14,14.3926,20.9147,0.9481,0.7308
msagat,nhs_timeseries,7,13.0852,16.0124,0.9729,0.8422
msagat,region785,10,633.7927,1054.8294,0.6888,0.4521
msagat,region785,15,829.0823,1299.2200,0.4469,0.1689
msagat,nhs_timeseries,14,14.3926,20.9147,0.9481,0.7308
msagat,japan,3,339.9872,1120.9493,0.8711,0.7016
msagat,japan,5,381.9680,1114.2127,0.8823,0.7052
msagat,japan,10,468.9879,1355.1997,0.8435,0.5638
msagat,japan,15,593.8915,1458.5320,0.8054,0.4948
msagat,region785,3,327.2301,643.5212,0.8957,0.7961
msagat,region785,5,480.0474,880.8277,0.7880,0.6180
msagat,region785,10,633.7927,1054.8294,0.6888,0.4521
msagat,region785,15,829.0823,1299.2200,0.4469,0.1689
msagat,state360,3,67.9085,179.0059,0.9155,0.8378
msagat,state360,5,88.7399,206.1596,0.8859,0.7849
msagat,state360,10,99.4642,225.7411,0.8673,0.7421
msagat,state360,15,99.3292,221.9367,0.8745,0.7507
msagat,australia-covid,3,50.6644,183.8727,0.9982,0.9910
msagat,australia-covid,7,180.2462,537.7027,0.9883,0.9229
msagat,australia-covid,14,286.2786,755.5512,0.9865,0.8477
msagat,ltla_timeseries,3,38.1349,93.7850,0.9061,0.8135
msagat,ltla_timeseries,7,69.2888,145.6719,0.7659,0.5501
msagat,ltla_timeseries,14,90.5595,179.1552,0.6318,0.3195
msagat,nhs_timeseries,3,3.9839,4.9353,0.9962,0.9850
msagat,nhs_timeseries,7,13.0852,16.0124,0.9729,0.8422
msagat,nhs_timeseries,14,14.3926,20.9147,0.9481,0.7308
msagat,spain-covid,3,17.4942,136.3691,0.6651,0.4298
msagat,spain-covid,7,27.7698,181.6239,0.4839,-0.0114
msagat,spain-covid,14,37.9840,213.8757,0.3816,-0.4026
epignn,japan,3,1507.9011,2721.7798,0.0261,-0.7593
epignn,japan,5,1468.9226,2640.0778,0.0577,-0.6553
colagnn,japan,3,1321.1541,2635.5283,0.2686,-0.6204
epignn,japan,10,1453.8660,2601.3017,0.0847,-0.6070
epignn,japan,15,1504.0939,2643.1818,0.0793,-0.6591
epignn,region785,3,937.1119,1545.2679,0.2828,-0.1758
colagnn,japan,5,1306.2926,2509.3370,-0.0398,-0.4421
epignn,region785,5,948.5742,1560.2173,0.2668,-0.1986
epignn,region785,10,985.1708,1607.5352,0.2225,-0.2724
epignn,region785,15,985.2568,1601.7401,0.2240,-0.2633
colagnn,japan,10,1456.3314,2646.0494,0.0787,-0.5485
epignn,state360,3,4060.0085,6485.4511,-0.7129,-211.8964
colagnn,japan,15,2988.7466,4696.2457,-0.0337,-4.2827
epignn,state360,5,4046.3699,6464.4421,-0.7146,-210.5193
colagnn,region785,3,868.7518,1321.8728,0.5317,0.1447
epignn,state360,10,4062.8279,6491.6648,-0.7174,-212.3046
colagnn,region785,5,1628.6013,2503.5875,0.1191,-2.0497
epignn,state360,15,4037.8662,6452.1798,-0.7176,-209.7177
epignn,australia-covid,3,1600.0509,3275.2800,-0.5495,-1.8621
colagnn,region785,10,1407.2042,2120.4441,0.0033,-1.1554
epignn,australia-covid,7,1595.9600,3267.7414,-0.5480,-1.8489
colagnn,region785,15,1793.7354,2606.0450,-0.0618,-2.2105
epignn,australia-covid,14,1599.1011,3271.8927,-0.5470,-1.8562
colagnn,state360,3,3366.4685,6638.9219,-0.0807,-218.9892
epignn,ltla_timeseries,3,5177.8491,7787.7255,0.2276,-1284.8140
colagnn,state360,5,415.7345,862.5513,-0.2523,-2.6596
epignn,ltla_timeseries,7,5176.7300,7785.9874,0.2285,-1284.2401
colagnn,state360,10,378.6174,813.9027,-0.0529,-2.1390
epignn,ltla_timeseries,14,5172.3647,7778.9817,0.2293,-1281.9282
colagnn,state360,15,290.0986,570.2927,0.3782,-0.4849
epignn,nhs_timeseries,3,167.1734,200.4974,0.6586,-23.7403
colagnn,australia-covid,3,852.7144,1992.8315,0.4281,-0.0704
epignn,nhs_timeseries,7,172.5157,206.9431,0.6588,-25.3566
colagnn,australia-covid,7,1322.9569,2929.1791,-0.2916,-1.3546
colagnn,australia-covid,14,897.5138,1994.3870,0.1897,-0.1189
epignn,nhs_timeseries,14,145.0602,173.8660,0.7104,-17.6044
epignn,spain-covid,3,49.6965,216.3222,-0.0280,-0.4348
epignn,spain-covid,7,44.4386,204.3451,0.0388,-0.2803
epignn,spain-covid,14,59.1219,234.6030,-0.1216,-0.6876
