model,dataset,horizon,mae,rmse,pcc,r2
epignn,japan,3,549.5241,1272.3615,0.8797,0.7296
epignn,japan,5,697.6122,1646.5584,0.8125,0.5472
epignn,japan,10,721.3282,1806.2737,0.7239,0.4551
epignn,japan,15,776.1429,1692.0774,0.7321,0.5218
epignn,region785,3,355.7682,688.9075,0.898,0.8026
epignn,region785,5,425.8177,851.9394,0.8597,0.6982
epignn,region785,10,639.3552,1168.9026,0.7234,0.4318
epignn,region785,15,682.6273,1223.631,0.7157,0.3774
epignn,state360,3,72.6359,187.1149,0.9226,0.8368
epignn,state360,5,87.8774,207.1545,0.9074,0.8
epignn,state360,10,99.5366,239.9452,0.8836,0.7317
epignn,state360,15,98.4934,247.9689,0.8876,0.7134
epignn,australia-covid,3,109.8731,318.0369,0.9947,0.9756
epignn,australia-covid,7,142.3748,387.379,0.9918,0.9638
epignn,australia-covid,14,144.2258,463.4263,0.9872,0.9481
epignn,ltla_timeseries,3,103.9866,154.9221,0.5296,-0.0554
epignn,ltla_timeseries,7,92.6525,143.5405,0.5011,0.0939
epignn,ltla_timeseries,14,104.7169,157.1371,0.4484,-0.0858
epignn,nhs_timeseries,3,5.0134,6.7376,0.9624,0.9178
epignn,nhs_timeseries,7,6.1577,8.1112,0.9436,0.8808
epignn,nhs_timeseries,14,9.8371,13.1616,0.8688,0.6862
colagnn,japan,3,587.8730,1548.1206,0.8452,0.6098
colagnn,japan,5,638.6750,1771.8655,0.7984,0.5021
colagnn,ltla_timeseries,3,36.2646,70.5811,0.8864,0.7798
colagnn,japan,10,683.2676,1801.865,0.7915,0.4941
colagnn,ltla_timeseries,7,78.0057,247.0763,0.1641,-1.7137
colagnn,ltla_timeseries,14,85.9608,170.0314,0.3212,-0.2664
colagnn,nhs_timeseries,3,2.2586,3.15,0.9913,0.982
colagnn,nhs_timeseries,7,6.9228,9.5633,0.9453,0.8343
colagnn,nhs_timeseries,14,13.3608,17.6904,0.8493,0.4324
colagnn,japan,15,662.2272,1835.9319,0.7046,0.3376
dcrnn,japan,3,918.6638,2377.4152,0.3872,0.0799
colagnn,region785,3,354.6501,773.9084,0.8818,0.7531
dcrnn,japan,5,1008.0473,2609.5115,0.2375,-0.0799
colagnn,region785,5,504.1765,1029.9919,0.8044,0.5664
dcrnn,japan,10,990.0473,2578.5383,0.5546,-0.0361
colagnn,region785,10,493.3451,888.1602,0.8396,0.6831
dcrnn,japan,15,817.1275,2283.8919,0.5153,-0.0251
dcrnn,region785,3,586.4518,1115.7099,0.7908,0.4868
colagnn,region785,15,586.1561,1062.5358,0.8004,0.5357
colagnn,ltla_timeseries,7,78.9089,252.1048,0.1217,-1.8253
dcrnn,region785,5,757.7962,1380.671,0.6839,0.2209
dcrnn,region785,10,952.0447,1652.4,0.5728,-0.097
dcrnn,region785,15,968.6234,1665.6836,0.565,-0.1411
colagnn,state360,3,71.4018,202.512,0.9138,0.8115
dcrnn,state360,3,87.6463,238.084,0.8923,0.7395
colagnn,state360,5,89.0719,228.2702,0.9019,0.7644
dcrnn,state360,5,115.1137,292.0677,0.8425,0.6142
dcrnn,state360,10,135.1479,340.3456,0.823,0.5021
dcrnn,state360,15,148.0728,365.9706,0.8043,0.458
dcrnn,australia-covid,3,78.5792,230.3624,0.9955,0.987
colagnn,state360,10,107.4459,270.7956,0.8958,0.6848
dcrnn,australia-covid,7,145.7949,397.1986,0.9892,0.9606
colagnn,ltla_timeseries,14,80.2877,143.2749,0.4527,0.1008
colagnn,state360,15,115.1538,279.6737,0.9069,0.6834
dcrnn,australia-covid,14,255.2039,633.9301,0.9719,0.8964
colagnn,australia-covid,3,74.2510,265.354,0.9967,0.9828
colagnn,nhs_timeseries,3,2.3657,3.3496,0.9909,0.9797
colagnn,australia-covid,7,103.4987,361.6893,0.9931,0.9673
colagnn,nhs_timeseries,7,14.5579,22.8175,0.8723,0.0567
colagnn,australia-covid,14,188.9536,575.027,0.9854,0.9148
colagnn,nhs_timeseries,14,11.1189,14.2288,0.84,0.6328
colagnn,nhs_timeseries,3,2.3657,3.3496,0.9909,0.9797
colagnn,nhs_timeseries,7,14.5579,22.8175,0.8723,0.0567
colagnn,nhs_timeseries,14,11.1189,14.2288,0.84,0.6328
dcrnn,japan,3,933.7198,2445.7728,0.341,0.0262
dcrnn,japan,3,883.5330,2345.3335,0.4235,0.1046
dcrnn,japan,5,1014.1064,2627.1113,0.2089,-0.0945
dcrnn,japan,5,1014.1064,2627.1113,0.2089,-0.0945
dcrnn,japan,10,1007.4564,2603.3406,0.5349,-0.0561
dcrnn,japan,15,818.6664,2297.9987,0.5048,-0.0378
dcrnn,japan,10,993.3547,2581.8615,0.5394,-0.0387
colagnn,ltla_timeseries,7,TIMEOUT,,,
dcrnn,japan,15,818.6664,2297.9987,0.5048,-0.0378
dcrnn,ltla_timeseries,14,TIMEOUT,,,
dcrnn,region785,3,TIMEOUT,,,
dcrnn,nhs_timeseries,3,3.8421,5.0967,0.9771,0.9529
colagnn,ltla_timeseries,14,TIMEOUT,,,
dcrnn,nhs_timeseries,7,6.7968,9.0705,0.9322,0.8509
dcrnn,ltla_timeseries,3,34.9180,64.534,0.9079,0.8159
dcrnn,region785,3,TIMEOUT,,,
colagnn,nhs_timeseries,3,2.3657,3.3496,0.9909,0.9797
dcrnn,nhs_timeseries,14,12.3702,16.2757,0.7534,0.5196
lstnet,japan,3,983.5021,2465.6626,0.3146,0.0103
lstnet,japan,5,1059.3422,2594.8175,0.1903,-0.0678
lstnet,japan,10,1013.3405,2470.1793,0.416,0.0492
lstnet,japan,15,705.5186,1998.8744,0.567,0.2148
dcrnn,ltla_timeseries,7,63.6461,108.6459,0.7068,0.4753
lstnet,region785,3,514.6548,965.4016,0.8016,0.6158
lstnet,region785,5,611.0168,1139.2357,0.73,0.4696
colagnn,nhs_timeseries,7,14.5579,22.8175,0.8723,0.0567
lstnet,region785,10,782.9299,1278.8789,0.6444,0.3429
lstnet,region785,15,679.3766,1145.0992,0.6797,0.4607
dcrnn,region785,5,796.8572,1434.5667,0.6762,0.1589
lstnet,state360,3,113.4434,268.3994,0.8306,0.669
colagnn,nhs_timeseries,14,11.1189,14.2288,0.84,0.6328
lstnet,state360,5,133.6237,297.2873,0.7749,0.6003
lstnet,state360,10,139.8460,354.5267,0.7895,0.4597
lstnet,state360,15,151.2299,379.8738,0.7498,0.416
lstnet,australia-covid,3,94.8577,366.9164,0.9835,0.9671
lstnet,australia-covid,7,99.5260,270.4913,0.9937,0.9817
lstnet,australia-covid,14,96.5624,297.5045,0.9922,0.9772
lstnet,ltla_timeseries,3,29.8623,58.8566,0.9232,0.8469
lstnet,ltla_timeseries,7,71.3306,131.3638,0.5839,0.2329
lstnet,ltla_timeseries,14,90.7439,156.5315,0.3613,-0.0733
lstnet,nhs_timeseries,3,3.9979,5.3709,0.9765,0.9477
lstnet,nhs_timeseries,7,8.2052,10.667,0.9058,0.7938
lstnet,nhs_timeseries,14,13.1336,17.9311,0.6691,0.4169
cnnrnn_res,japan,3,932.1405,2289.444,0.4449,0.1467
cnnrnn_res,japan,5,1067.7773,2653.0081,0.1016,-0.1162
cnnrnn_res,japan,10,1042.6996,2709.7916,0.2547,-0.1442
cnnrnn_res,japan,15,713.2731,1955.5081,0.6079,0.2485
cnnrnn_res,region785,3,506.7528,942.4291,0.8188,0.6338
cnnrnn_res,region785,5,651.1556,1156.8309,0.6959,0.4531
cnnrnn_res,region785,10,777.3249,1381.374,0.583,0.2334
cnnrnn_res,region785,15,715.9892,1277.1428,0.6318,0.3292
cnnrnn_res,state360,3,115.9200,288.3686,0.8006,0.6179
cnnrnn_res,state360,5,125.4670,327.8333,0.7443,0.514
