Dataset,Horizon,Root Mean Square Error,Mean Absolute Error,Pearson Correlation Coefficient,R-squared
JAPAN,3,1045.185808839749,324.35785,0.8850216361370662,0.7405716449193549
JAPAN,5,1087.471378933717,391.8414,0.8848976597214671,0.7191553859333716
JAPAN,10,1337.8910176094314,462.10046,0.8269026634215679,0.5749187790096215
JAPAN,15,1338.21546284595,510.2231,0.7777359026547751,0.5747125895881366
REGION785,3,650.1189554612295,308.93277,0.910264849122188,0.7918879986580901
REGION785,5,832.8185201470966,440.72226,0.8395876072825846,0.6584830972040603
REGION785,10,999.0709121478816,557.39636,0.7632567453301238,0.5085219709832023
REGION785,15,1358.3828620827046,842.74225,0.478227278562144,0.0914353298444701
NHS_TIMESERIES,3,6.878745151346846,5.4115243,0.9889806676058496,0.9708790566491198
NHS_TIMESERIES,7,25.369218139389048,21.423151,0.9555194074795186,0.6039032885815543
NHS_TIMESERIES,14,15.25815751818054,12.14756,0.9401592093948756,0.8567181348329677
LTLA_TIMESERIES,3,106.240739486143,47.616177,0.9084626521514272,0.7607020206090898
LTLA_TIMESERIES,7,163.4359763313298,83.148895,0.7284235574519138,0.4336925829800889
LTLA_TIMESERIES,14,196.08480308274784,106.41995,0.5166343551999448,0.1848364737890448
