model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250425_154809,japan,20,5,391.8414,342.11163,1087.471378933717,793.99036,0.8848976597214671,0.8974981465136349,0.049656996875,0.7191553859333716,0.7286986763458918,0.7200556993484497,0.7345817659763579,1051.6884
MSTAGAT-Net,20250425_162119,japan,20,5,391.8414001464844,342.11163330078125,1087.471378933717,793.9903564453125,0.8848976597214671,0.8974981465136349,0.049656996875,0.7191553859333716,0.7286986763458918,0.7200556993484497,0.7345817659763579,1051.6883544921875
MSTAGAT-Net,20250425_162715,japan,20,5,391.8414001464844,342.11163330078125,1087.471378933717,793.9903564453125,0.8848976597214671,0.8974981465136349,0.049656996875,0.7191553859333716,0.7286986763458918,0.7200556993484497,0.7345817659763579,1051.6883544921875
MSTAGAT-Net,20250426_162328,japan,20,5,415.947021484375,367.1204528808594,1087.5286203130472,788.0997314453125,0.88509601354599,0.9062891006469728,0.0709536224603653,0.7191257476806641,0.7381409406661987,0.7192275524139404,0.7439471483230591,1033.7044677734375
MSTAGAT-Net,20250427_141345,japan,20,5,382.6149291992188,337.468505859375,1137.7383266814911,826.6441040039062,0.8698463895675885,0.8826211838926479,0.029712421875,0.6925919837331247,0.7067679181173426,0.6947375535964966,0.7137717756819217,1095.927490234375
MSTAGAT-Net,20250427_142135,japan,20,5,397.6440734863281,352.6024780273437,1086.036198752141,785.4662475585938,0.8830369671319196,0.90280576557316,0.06170280625,0.7198961952833589,0.739750384311458,0.720217227935791,0.7450133295769387,1039.8194580078125
MSTAGAT-Net,20250427_144148,japan,20,5,391.8414001464844,342.11163330078125,1087.471378933717,793.9903564453125,0.8848976597214671,0.8974981465136349,0.049656996875,0.7191553859333716,0.7286986763458918,0.7200556993484497,0.7345817659763579,1051.6883544921875
MSTAGAT-Net,20250427_145320,japan,20,5,384.9175720214844,351.3391418457031,1113.0826002592978,804.26513671875,0.865665959322367,0.8846043874442565,0.031135234375,0.7057711788484979,0.7286583096014049,0.7067511081695557,0.733278530709287,1097.721923828125
MSTAGAT-Net,20250428_182649,japan,20,5,384.9175720214844,351.3391418457031,1113.0826002592978,804.26513671875,0.865665959322367,0.8846043874442565,0.031135234375,0.7057711788484979,0.7286583096014049,0.7067511081695557,0.733278530709287,1097.721923828125
MSTAGAT-Net,20250428_185919,japan,20,5,382.1592102050781,349.13104248046875,1101.0282693918446,793.5646362304688,0.8695028288510238,0.8906131223793085,0.03611005625,0.7121094561882539,0.7367266921354676,0.7131187319755554,0.7416272112663757,1092.3935546875
MSTAGAT-Net,20250428_190531,japan,20,5,384.9175720214844,351.3391418457031,1113.0826002592978,804.26513671875,0.865665959322367,0.8846043874442565,0.031135234375,0.7057711788484979,0.7286583096014049,0.7067511081695557,0.733278530709287,1097.721923828125
MSTAGAT-Net,20250428_191116,japan,20,5,384.9175720214844,351.3391418457031,1113.0826002592978,804.26513671875,0.865665959322367,0.8846043874442565,0.031135234375,0.7057711788484979,0.7286583096014049,0.7067511081695557,0.733278530709287,1097.721923828125
MSTAGAT-Net,20250428_193210,japan,20,5,384.9175720214844,351.3391418457031,1113.0826002592978,804.26513671875,0.865665959322367,0.8846043874442565,0.031135234375,0.7057711788484979,0.7286583096014049,0.7067511081695557,0.733278530709287,1097.721923828125
MSTAGAT-Net,20250428_231334,japan,20,5,379.5241088867188,336.0417785644531,1137.1541782010036,825.3756103515625,0.859402538389434,0.8740608141122629,0.0223207,0.6929075446226266,0.7081298106113916,0.6947736740112305,0.7148398833071932,1130.2867431640625
MSTAGAT-Net,20250428_234219,japan,20,5,374.3097534179688,335.9218444824219,1133.5274588645834,821.8111572265625,0.8645849432263406,0.8793390456231611,0.0149256484375,0.6948632078047421,0.7117821665078983,0.6981549263000488,0.7205796850488541,1131.3060302734375
MSTAGAT-Net,20250428_234721,japan,20,5,384.9175720214844,351.3391418457031,1113.0826002592978,804.26513671875,0.865665959322367,0.8846043874442565,0.031135234375,0.7057711788484979,0.7286583096014049,0.7067511081695557,0.733278530709287,1097.721923828125
MSTAGAT-Net,20250430_184936,japan,20,5,379.5241088867188,336.0417785644531,1137.1541782010036,825.3756103515625,0.859402538389434,0.8740608141122629,0.0223207,0.6929075446226266,0.7081298106113916,0.6947736740112305,0.7148398833071932,1130.2867431640625
MSTAGAT-Net,20250430_200028,japan,20,5,391.8414001464844,342.11163330078125,1087.471378933717,793.9903564453125,0.8848976597214671,0.8974981465136349,0.049656996875,0.7191553859333716,0.7286986763458918,0.7200556993484497,0.7345817659763579,1051.6883544921875
