number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
0,,2025-04-03 19:25:02.727076,2025-04-03 19:25:04.226320,0 days 00:00:01.499244,0.0,16,0.34971002649642435,64,9,6,0.001,4,24,1e-05,,,,,,,,,200507,,,PRUNED
1,508.4169942423058,2025-04-03 19:25:04.226797,2025-04-03 19:25:57.950831,0 days 00:00:53.724034,0.0,2,0.38585520083249586,24,3,6,0.001,4,32,0.0001,508.4169942423058,0.8445218770042435,98.0,1016.3303833007812,98.0,101.0,0.8286254750460873,1065.797607421875,18141,0.8893264864483594,1112.4215087890625,COMPLETE
2,583.8114988198323,2025-04-03 19:25:57.957310,2025-04-03 19:27:03.786557,0 days 00:01:05.829247,0.0001,16,0.23863217313696952,24,3,12,0.0001,5,8,0.0005,583.8114988198323,0.7938094714476789,101.0,1167.0694580078125,101.0,101.0,0.7938094714476789,1167.0694580078125,31948,0.7847424194763231,1380.4361572265625,COMPLETE
3,818.5680932936839,2025-04-03 19:27:03.787983,2025-04-03 19:28:16.735322,0 days 00:01:12.947339,1e-06,16,0.4548039330070294,24,3,4,5e-05,5,24,0.0005,818.5680932936839,0.5104282789501713,110.0,1636.4603271484375,110.0,110.0,0.5104282789501713,1636.4603271484375,20452,0.44870606327465445,1837.084228515625,COMPLETE
4,,2025-04-03 19:28:16.736994,2025-04-03 19:28:16.820877,0 days 00:00:00.083883,0.0,16,0.23134764310512113,96,7,4,0.001,4,16,0.0001,,,,,,,,,350127,,,PRUNED
5,540.9065961015566,2025-04-03 19:28:16.821478,2025-04-03 19:29:25.853462,0 days 00:01:09.031984,1e-05,4,0.25157284116625067,24,3,4,0.001,5,32,0.0005,540.9065961015566,0.8226341283598735,93.0,1081.2967529296875,93.0,101.0,0.8139929351610706,1104.439697265625,18948,0.8778705707190295,1157.132568359375,COMPLETE
6,,2025-04-03 19:29:25.855206,2025-04-03 19:29:25.964039,0 days 00:00:00.108833,1e-06,4,0.3755440263604036,64,3,6,0.0001,4,8,0.001,,,,,,,,,95429,,,PRUNED
7,520.7535241901005,2025-04-03 19:29:25.964503,2025-04-03 19:30:09.369797,0 days 00:00:43.405294,1e-06,8,0.4051929927767238,16,5,8,0.0005,4,8,0.0001,520.7535241901005,0.8373860550295389,82.0,1040.9986572265625,82.0,102.0,0.8244182490549257,1080.4266357421875,18657,0.8698266317728677,1123.137939453125,COMPLETE
8,,2025-04-03 19:30:09.371301,2025-04-03 19:30:09.404390,0 days 00:00:00.033089,1e-05,2,0.25018526675753167,48,9,16,0.001,5,32,0.001,,,,,,,,,144670,,,PRUNED
9,705.5909633150981,2025-04-03 19:30:09.404918,2025-04-03 19:31:07.688215,0 days 00:00:58.283297,1e-06,8,0.34309031267385515,16,5,16,0.0001,6,12,0.0005,705.5909633150981,0.6742225258983232,101.0,1410.5687255859375,101.0,101.0,0.6742225258983232,1410.5687255859375,31851,0.6028270739628698,1658.15185546875,COMPLETE
