number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_beats_target,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
0,662.4976915780594,2025-04-04 01:04:23.318258,2025-04-04 01:04:56.322924,0 days 00:00:33.004666,0.001,2,0.19056231220188824,24,3,8,0.0001,3,16,1e-06,False,662.4976915780594,0.7505196270306409,66.0,946.2257690429688,62.0,162.0,0.5922446266118365,1102.1412353515625,16902,0.7455313534794046,1106.6495361328125,COMPLETE
1,,2025-04-04 01:04:56.324630,2025-04-04 01:04:56.356253,0 days 00:00:00.031623,0.0001,4,0.39930873535858025,64,5,8,0.0005,5,32,0.0005,,,,,,,,,,149826,,,PRUNED
2,,2025-04-04 01:04:56.356584,2025-04-04 01:04:56.385120,0 days 00:00:00.028536,0.001,8,0.1070207957121527,48,3,6,0.0001,4,32,1e-06,,,,,,,,,,55989,,,PRUNED
3,586.7866546094158,2025-04-04 01:04:56.385407,2025-04-04 01:05:23.089193,0 days 00:00:26.703786,1e-05,4,0.3519612644502519,32,3,12,0.0002,4,32,0.0001,False,586.7866546094158,0.7842341045596208,74.0,838.0712280273438,57.0,157.0,0.6052406604404594,1055.0230712890625,32915,0.7989093094052007,873.8596801757812,COMPLETE
4,,2025-04-04 01:05:23.090608,2025-04-04 01:05:23.134016,0 days 00:00:00.043408,1e-06,16,0.12063993131364426,48,7,6,0.0001,3,24,1e-06,,,,,,,,,,77544,,,PRUNED
5,643.113699280772,2025-04-04 01:05:23.134464,2025-04-04 01:05:43.235855,0 days 00:00:20.101391,0.0,8,0.354277419625302,32,3,12,0.0001,5,16,0.0001,False,643.113699280772,0.7332240165054653,24.0,918.527099609375,24.0,124.0,0.656279859030261,1052.9571533203125,37044,0.8045193437741782,959.8746948242188,COMPLETE
6,,2025-04-04 01:05:43.237126,2025-04-04 01:05:43.277384,0 days 00:00:00.040258,0.001,4,0.10559292260809976,48,7,12,0.0005,6,12,0.0001,,,,,,,,,,131673,,,PRUNED
7,645.28705414346,2025-04-04 01:05:43.277777,2025-04-04 01:06:01.544781,0 days 00:00:18.267004,0.0001,8,0.31813020957029214,32,5,8,0.0002,4,16,0.0,False,645.28705414346,0.7642595548878948,57.0,921.6309814453125,23.0,123.0,0.6043743003260987,1095.847412109375,38209,0.7683736662457962,1033.3826904296875,COMPLETE
8,897.5992234979617,2025-04-04 01:06:01.546029,2025-04-04 01:06:10.230512,0 days 00:00:08.684483,1e-05,2,0.31374992635026966,32,7,4,0.0005,4,24,0.0001,,,,,,,,,,42063,,,PRUNED
9,895.955304126665,2025-04-04 01:06:10.231204,2025-04-04 01:06:29.262701,0 days 00:00:19.031497,0.0,16,0.1048860568187986,16,3,4,0.0002,4,16,0.0001,,,,,,,,,,9611,,,PRUNED
