number,value,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,rmse,pcc,model_size,test_rmse,test_pcc
82,475.1911911451942,0.001,16,0.4034253350809688,24,7,4,0.0005,2,12,0.0,949.88623046875,0.8664174773619023,19661,1082.226806640625,0.8978467341123512
95,475.32959287065256,1e-05,16,0.3597085490870847,24,7,4,0.0005,2,12,1e-05,950.1629028320312,0.86615530209081,19661,1057.2977294921875,0.8948794347257627
54,475.3606056275904,0.0001,16,0.4268768759140255,24,7,4,0.0005,2,12,0.0001,950.2250366210938,0.8669587325733026,19661,1080.9786376953125,0.8944192776984953
53,475.3651520351149,0.0001,16,0.4220949215302417,24,7,4,0.0005,2,12,0.0,950.2343139648438,0.8667409098665588,19661,1074.3621826171875,0.8926483372765973
45,475.58144287304935,1e-06,16,0.3683427949134352,24,7,4,0.0005,2,12,0.0,950.6666259765624,0.8662015815661512,19661,1084.922607421875,0.8958899149243644
64,475.7615912971779,0.0001,16,0.3315449677273316,24,7,4,0.0005,2,12,0.0,951.0266723632812,0.8657006584894388,19661,1073.330810546875,0.895115036320366
91,476.1405348699448,0.001,16,0.4062448643651632,24,7,4,0.0005,2,12,0.0,951.78466796875,0.8661768223684083,19661,1062.763671875,0.8924006699097868
35,476.5366017114097,0.001,16,0.4620748907477738,24,7,4,0.0005,2,16,0.0,952.576904296875,0.8661228687497184,19661,1051.1239013671875,0.8915621279411654
75,476.56442555509,0.0001,16,0.4390930105035012,24,7,4,0.0005,6,12,0.0,952.6060791015624,0.8664053877811184,36081,1065.1663818359375,0.8929733981127503
81,476.5727707604277,0.001,16,0.4036065863209431,24,7,4,0.0005,2,12,0.0,952.6491088867188,0.8658558523652422,19661,1057.3331298828125,0.8927665198728361
