Dataset,Horizon,Root Mean Square Error,Mean Absolute Error,Pearson Correlation Coefficient,R-squared
JAPAN,3,1072.0664624919484,343.1775,0.876281868278673,0.7270557997707465
JAPAN,5,1176.9857157162105,423.36255,0.8508779719513277,0.6710174378131816
JAPAN,10,1365.2919101789184,553.9656,0.8146722205443166,0.5573286004563289
JAPAN,15,1483.551397828872,582.6719,0.7013672382705425,0.4773203118914786
REGION785,3,643.5723541296659,338.579,0.901473768752556,0.7960581945483726
REGION785,5,847.9628529599631,455.5337,0.8235742072843951,0.645949592897554
REGION785,10,1078.380730540007,597.82135,0.731042677384923,0.4273942278407305
REGION785,15,1215.5315195419655,691.38135,0.6112359521334252,0.2724816947309957
NHS_TIMESERIES,3,8.09792146740663,6.3087378,0.9883495695072564,0.9596415791393932
NHS_TIMESERIES,7,18.201229615646422,15.25486,0.960445819903004,0.7961135073708241
NHS_TIMESERIES,14,28.522665012820838,23.93357,0.919348882840438,0.4993119675724787
LTLA_TIMESERIES,3,105.87829743241764,49.113712,0.9115374205178716,0.7623319687985363
LTLA_TIMESERIES,7,160.6256444539601,79.77262,0.7505150899441452,0.4530008955591535
LTLA_TIMESERIES,14,190.3492370125239,102.60855,0.5556441266733619,0.2318267677386856
