Dataset,Horizon,Root Mean Square Error,Mean Absolute Error,Pearson Correlation Coefficient,R-squared
JAPAN,3,1072.0665,343.1775,0.8763,0.7271
JAPAN,5,1176.9857,423.3626,0.8509,0.671
JAPAN,10,1365.2919,553.9656,0.8147,0.5573
JAPAN,15,1483.5514,582.6719,0.7014,0.4773
REGION785,3,643.5724,338.579,0.9015,0.7961
REGION785,5,847.9629,455.5337,0.8236,0.6459
REGION785,10,1078.3807,597.8214,0.731,0.4274
REGION785,15,1215.5315,691.3814,0.6112,0.2725
NHS_TIMESERIES,3,8.0979,6.3087,0.9883,0.9596
NHS_TIMESERIES,7,18.2012,15.2549,0.9604,0.7961
NHS_TIMESERIES,14,28.5227,23.9336,0.9193,0.4993
LTLA_TIMESERIES,3,105.8783,49.1137,0.9115,0.7623
LTLA_TIMESERIES,7,160.6256,79.7726,0.7505,0.453
LTLA_TIMESERIES,14,190.3492,102.6085,0.5556,0.2318
