model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,ablation
MSTAGAT-Net,20260114_230615,australia-covid,20,3,131.66464233398438,295.73175,365.5247084671568,148.37502,0.9972374,0.7777135,0.011424088,0.9643530249595642,-71.47806,0.9670279026031494,0.5179931,473.3103637695313,no_agam
MSTAGAT-Net,20260114_230646,australia-covid,20,3,155.52435302734375,340.52557,414.1206232790152,172.49847,0.9969619,0.784932,0.014494127,0.9542445540428162,-141.82423,0.9573493599891664,-3.9705021,547.6293334960938,no_mtfm
MSTAGAT-Net,20260114_231020,australia-covid,20,3,260.8668518066406,608.0003,744.5790757199668,292.70605,0.9830741,0.56079316,0.01970095,0.852085530757904,-130.38797,0.86358642578125,-16.61848,964.1849975585938,no_pprm
MSTAGAT-Net,20260114_230252,australia-covid,20,3,137.8949737548828,320.99283,386.6449639203904,152.44221,0.99759257,0.827164,0.009649453,0.960114598274231,-52.533104,0.96348237991333,0.66167605,510.7111206054688,none
MSTAGAT-Net,20260114_232438,australia-covid,20,7,203.20985412597656,500.50278,605.799471772632,230.08743,0.9914173,0.5247228,0.011578791,0.902085542678833,-978.8274,0.9115419983863832,-610.97815,806.2828369140625,no_agam
MSTAGAT-Net,20260114_232502,australia-covid,20,7,257.190673828125,558.87384,676.0071652726767,285.29214,0.9894424,0.54891145,0.027658228,0.8780753016471863,-339.14563,0.8862583041191101,-6.1514244,916.3246459960938,no_mtfm
MSTAGAT-Net,20260114_232629,australia-covid,20,7,294.4425964355469,706.5197,839.4420766199416,324.58423,0.9837793,-0.028447434,0.011434919,0.8119945526123047,-191.72568,0.8349345922470093,-3.744077,1146.301025390625,no_pprm
MSTAGAT-Net,20260114_232235,australia-covid,20,7,229.9474639892578,528.57355,646.0426649997661,257.5169,0.9882352,0.56712234,0.01766469,0.8886445760726929,-77.36905,0.8975273370742798,-0.22093973,856.1138305664062,none
MSTAGAT-Net,20260114_233226,australia-covid,20,14,320.76641845703125,595.8693,761.8161277499971,365.72607,0.9660737,0.30446026,0.0824267,0.84515780210495,-249.23793,0.8497812747955322,-20.137632,1018.8255004882812,no_agam
MSTAGAT-Net,20260114_233253,australia-covid,20,14,309.7910461425781,647.4616,792.766950307592,347.76215,0.98246956,0.2716405,0.025937788,0.8323204517364502,-353.15662,0.8424803614616394,-6.2703123,1171.2548828125,no_mtfm
MSTAGAT-Net,20260114_233507,australia-covid,20,14,260.6171264648437,567.0942,716.3842369845947,301.6961,0.980836,0.15487261,0.023751825,0.8630754947662354,-195.58069,0.8718461394309998,-1.9330348,1011.8101806640624,no_pprm
MSTAGAT-Net,20260114_232931,australia-covid,20,14,259.9659423828125,578.1275,715.956375242235,291.98187,0.98325,0.34150842,0.020456193,0.863239049911499,-108.29352,0.873153805732727,-2.9013572,1015.3707885742188,none
MSTAGAT-Net,20260114_214436,japan,20,3,352.39459228515625,325.67233,1148.6856075532592,820.70746,0.8670018,0.8920872,0.02056906,0.6866477727890015,0.7202186,0.697897732257843,0.74230725,1117.8642578125,no_agam
MSTAGAT-Net,20260114_214505,japan,20,3,332.6778564453125,313.8165,1111.6722201260586,791.44684,0.87776124,0.9004703,0.009571106,0.7065163254737854,0.73848873,0.7163527011871338,0.75767183,1077.564453125,no_mtfm
MSTAGAT-Net,20260114_214657,japan,20,3,349.64630126953125,311.12305,1080.1286381723244,781.6707,0.8967883,0.9086993,0.02968849,0.7229351997375488,0.73507136,0.7312994003295898,0.7547249,1107.9276123046875,no_pprm
MSTAGAT-Net,20260114_214323,japan,20,3,323.62506103515625,299.54916,1051.3370653601062,753.2667,0.8874328,0.90413785,0.024910888,0.73750901222229,0.7590169,0.7435877323150635,0.7715799,1038.3551025390625,none
MSTAGAT-Net,20260114_214912,japan,20,5,374.0599365234375,336.72018,1129.7862076516956,815.49603,0.87300146,0.8900573,0.032061614,0.6968741416931152,0.7210741,0.6996752023696899,0.7286211,1095.5364990234375,no_agam
MSTAGAT-Net,20260114_214934,japan,20,5,432.2684020996094,393.97946,1232.0614838554122,889.0751,0.8501831,0.8752998,0.04968398,0.6395083665847778,0.6687728,0.6437243223190308,0.67885834,1216.6875,no_mtfm
MSTAGAT-Net,20260114_215158,japan,20,5,353.7760009765625,306.82108,1115.6060572621502,808.3341,0.8941034,0.90849984,0.022693543,0.7044355869293213,0.72182816,0.710279643535614,0.7374468,1090.89697265625,no_pprm
MSTAGAT-Net,20260114_173239,japan,20,5,343.4354248046875,306.06818,1084.9807025933687,786.06506,0.89862025,0.9114312,0.013290425,0.7204403877258301,0.7372765,0.7275374531745911,0.75309366,1079.79150390625,none
MSTAGAT-Net,20260114_180448,japan,20,5,400.3080139160156,362.7472839355469,1242.9133618237436,895.0257568359375,0.8572908043861389,0.8830519914627075,0.0299780163913965,0.6331300139427185,0.6628044843673706,0.6385091543197632,0.6749471426010132,1177.5584716796875,none
MSTAGAT-Net,20260114_181416,japan,20,5,370.5674133300781,330.6795654296875,1101.3711908344071,799.692626953125,0.889995813369751,0.9040029048919678,0.0423842594027519,0.7119300961494446,0.7293674349784851,0.7162103056907654,0.7400111556053162,1092.3270263671875,none
MSTAGAT-Net,20260114_182442,japan,20,5,405.1805114746094,366.241455078125,1250.107095412229,900.8681030273438,0.8556643128395081,0.8816505074501038,0.0314182639122009,0.628870964050293,0.6580218076705933,0.6341379284858704,0.6699845194816589,1182.988037109375,none
MSTAGAT-Net,20260114_182738,japan,20,5,408.9487915039063,372.5980529785156,1216.6541723102748,874.5999145507812,0.8502112627029419,0.875052809715271,0.0396956577897071,0.6484680771827698,0.6787034273147583,0.6518951654434204,0.6880379319190979,1183.091552734375,none
MSTAGAT-Net,20260114_183536,japan,20,5,373.9382629394531,335.604736328125,1107.5613978466386,799.322998046875,0.8836435675621033,0.9019405841827391,0.0335105992853641,0.7086828351020813,0.7295133471488953,0.7113692760467529,0.7380763292312622,1077.58984375,none
MSTAGAT-Net,20260114_184042,japan,20,5,373.9382629394531,335.604736328125,1107.5613978466386,799.322998046875,0.8836435675621033,0.9019405841827391,0.0335105992853641,0.7086828351020813,0.7295133471488953,0.7113692760467529,0.7380763292312622,1077.58984375,none
MSTAGAT-Net,20260114_194254,japan,20,5,370.88623046875,335.9307861328125,1127.0952710396757,811.7053833007812,0.8759493827819824,0.8959957957267761,0.0252695064991712,0.6983163952827454,0.7222381234169006,0.7010258436203003,0.7306462526321411,1086.4903564453125,none
MSTAGAT-Net,20260114_195453,japan,20,5,379.7200622558594,336.99786376953125,1073.9145682967523,779.0354614257812,0.8824187517166138,0.8980816006660461,0.0531731136143207,0.7261139154434204,0.742256760597229,0.7268353700637817,0.7479742169380188,1052.598876953125,none
MSTAGAT-Net,20260114_200420,japan,20,5,379.7200622558594,336.99786376953125,1073.9145682967523,779.0354614257812,0.8824187517166138,0.8980816006660461,0.0531731136143207,0.7261139154434204,0.742256760597229,0.7268353700637817,0.7479742169380188,1052.598876953125,none
MSTAGAT-Net,20260114_201202,japan,20,5,379.7200622558594,336.99786376953125,1073.9145682967523,779.0354614257812,0.8824187517166138,0.8980816006660461,0.0531731136143207,0.7261139154434204,0.742256760597229,0.7268353700637817,0.7479742169380188,1052.598876953125,none
MSTAGAT-Net,20260114_202535,japan,20,5,379.7200622558594,336.99786376953125,1073.9145682967523,779.0354614257812,0.8824187517166138,0.8980816006660461,0.0531731136143207,0.7261139154434204,0.742256760597229,0.7268353700637817,0.7479742169380188,1052.598876953125,none
MSTAGAT-Net,20260114_203449,japan,20,5,357.77056884765625,320.0294494628906,1069.4634752996476,775.5565185546875,0.8835863471031189,0.8985854387283325,0.0300643593072891,0.7283796072006226,0.7446832060813904,0.7300106287002563,0.7514121532440186,1053.71435546875,none
MSTAGAT-Net,20260114_215335,japan,20,10,506.0746765136719,443.3595,1426.664816976994,1047.0715,0.7752837,0.79173046,0.033463564,0.5166358947753906,0.526516,0.5261845588684082,0.5485457,1406.264404296875,no_agam
MSTAGAT-Net,20260114_215410,japan,20,10,458.6711730957031,386.88898,1339.6628773687803,993.5211,0.83973503,0.8433372,0.022180337,0.5737920999526978,0.56932694,0.5851183533668518,0.59394807,1318.7769775390625,no_mtfm
MSTAGAT-Net,20260114_215548,japan,20,10,448.9705200195313,378.4201,1314.2991953889343,971.44617,0.82462275,0.8343613,0.017770257,0.5897780060768127,0.59002745,0.596389651298523,0.6085622,1289.4268798828125,no_pprm
MSTAGAT-Net,20260114_173904,japan,20,10,464.0825805664063,387.3037,1376.1477028284428,1023.12244,0.8116264,0.8058844,0.020664766,0.5502610206604004,0.53635377,0.5619295835494995,0.56220025,1377.38134765625,none
MSTAGAT-Net,20260114_215753,japan,20,15,497.0767517089844,414.43668,1309.7472084337496,975.0595,0.7931349,0.7984466,0.037256017,0.5926146507263184,0.5837781,0.5941175222396851,0.59481007,1243.7967529296875,no_agam
MSTAGAT-Net,20260114_215825,japan,20,15,534.76123046875,452.39102,1475.4138402495755,1102.7347,0.72222114,0.7278894,0.046320204,0.4830385446548462,0.4665049,0.4928305745124817,0.48940235,1472.9661865234375,no_mtfm
MSTAGAT-Net,20260114_220033,japan,20,15,458.6896057128906,382.5031,1307.9541754205306,970.2933,0.8344848,0.839957,0.018773956,0.5937292575836182,0.5873051,0.602216362953186,0.6089792,1301.2249755859375,no_pprm
MSTAGAT-Net,20260114_174827,japan,20,15,567.4369506835938,465.12637,1494.3803063477517,1110.2017,0.7354063,0.7430165,0.0797314,0.469662070274353,0.46063453,0.4736763834953308,0.475938,1374.0716552734375,none
MSTAGAT-Net,20260115_002830,ltla_timeseries,20,3,47.51989364624024,35.50127,104.31235020959886,82.582344,0.90933174,0.8847486,2.609828e-08,0.7693102359771729,0.6628692,0.7918409705162048,0.7407903,50.26991653442383,no_agam
MSTAGAT-Net,20260115_002920,ltla_timeseries,20,3,49.39236831665039,36.40648,105.32537940532188,83.38865,0.90459955,0.8819035,3.1622495e-08,0.7648078203201294,0.6575765,0.7815555334091187,0.7240996,51.556758880615234,no_mtfm
MSTAGAT-Net,20260115_003429,ltla_timeseries,20,3,87.12708282470703,69.09716,179.36094783808153,140.86963,0.66309386,0.655703,5.1537477e-08,0.3179556131362915,-0.045249067,0.3970993757247925,0.27506584,91.14909362792967,no_pprm
MSTAGAT-Net,20260115_002411,ltla_timeseries,20,3,47.57913589477539,36.047718,105.4762173282442,83.2536,0.9081902,0.88623685,2.6742063e-08,0.7641336917877197,0.6564567,0.7844266891479492,0.72906035,50.12921142578125,none
MSTAGAT-Net,20260115_004139,ltla_timeseries,20,7,79.09681701660156,57.668785,159.89097848221456,127.97907,0.75369054,0.671883,4.63936e-08,0.4579931497573852,0.17600709,0.5242457389831543,0.40652764,83.05989837646484,no_agam
