stamp,kind,exp,mean_val_rmse,nhs_timeseries.h3,nhs_timeseries.h7,nhs_timeseries.h14,japan.h3,japan.h5,ent_mean,ent_min,uv_share,alpha_first,alpha_mean_lag,alpha_entropy,gate_pass,note
20260819_015807,baseline-v2,,252.4675,2.8285,7.2757,19.8442,627.7834,604.6056,,,,,,,,"frozen v2, from existing npz"
20260819_015829,baseline-noagam,,295.6082,4.3832,9.5302,23.025,767.8387,673.2641,,,,,,,,"the bar: EAGAM removed, v2 space, proxy grid"
20260819_020156,config,"nodecay,regpre",233.3,2.8082,7.1788,16.311,504.7393,635.4625,0.8537,0.2859,0.7797,,,,True,exp-1 per program.md: decay-free u/v + gradient-bearing pre-softmax L1 on U@V (directions 1a+1b together) [KEPT - campaign winner]
20260819_021151,config,"nodecay,regpre,temp",289.5478,2.7642,7.3384,16.5567,559.6473,861.4324,0.7934,0.1674,0.5468,,,,True,"exp-2: direction 2 (learnable pre-softmax temperature, init exp(0)=1) on top of kept exp-1 [INVALIDATED: _init_weights re-ran uniform_(-1,1) over log_attn_temp; re-run as exp-2R]"
20260819_022131,config,"nodecay,regpre,init10",233.3,2.8082,7.1788,16.311,504.7393,635.4625,0.8537,0.2859,0.7797,,,,True,"exp-3: direction 3 (u/v init scaled 10x) on kept exp-1 [INVALIDATED: _init_weights re-ran xavier over u/v, wiping the scaling - bit-identical to exp-1; re-run as exp-3R]"
20260819_023832,config,"nodecay,regpre,temp",260.7399,2.7559,7.7077,18.6963,611.2715,663.2683,0.8506,0.153,0.6388,,,,True,"exp-2R: rerun after init-order fix (temp now truly starts at 1.0) [DISCARDED: worse than exp-1 in 4/5, mean +9.1%]"
20260819_024413,config,"nodecay,regpre,init10",248.0708,2.8533,7.4395,14.844,589.6534,625.5637,0.7357,0.053,0.8535,,,,True,exp-3R: rerun after init-order fix (u/v scaling now survives _init_weights) [DISCARDED: +2.3% vs exp-1; won nhs h14]
20260819_065426,config,"nodecay,regpre,lrx10",249.843,2.8247,7.2541,16.9115,624.0022,598.2226,0.7126,0.0331,0.8946,,,,True,exp-4: direction 4 (10x lr on u/v/adj_scale) on kept exp-1 [DISCARDED: beat the BAR 5/5 but +4.6% vs exp-1]
20260819_070558,config,"nodecay,regpre,adjstd",238.816,2.8246,7.2903,20.3258,610.7136,552.9258,0.8015,0.1288,0.6179,,,,True,"exp-5: direction 7, standardise adjacency term per row [DISCARDED: +7.0% vs exp-1; won japan h5]"
20260819_071244,config,"nodecay,regpre,scorenorm",268.3058,3.0028,7.6053,17.0148,620.6227,693.2832,0.7727,0.3628,0.6621,,,,True,"exp-6: direction 8, normalise combined logits [DISCARDED: worst, 0/5 vs exp-1, +9.8%]"
20260819_072111,config,"nodecay,regpre,multgate",234.5135,2.9356,7.2268,17.4359,612.0582,532.9109,0.9952,0.9723,0.0,,,,False,"exp-7: direction 9, multiplicative structural gating [GATE FAIL on entropy 0.9952 - attention collapsed to uniform while RMSE nearly tied exp-1; uv_share not meaningful under the multiplicative form]"
20260819_072757,config,"nodecay,regpre,rank2",342.0844,2.7559,8.6193,15.3866,817.7342,865.9262,0.9599,0.3632,0.5264,,,,True,"exp-8: direction 6, graph-bias rank 8->2 [DISCARDED: +22.2%]"
