stamp,kind,exp,dataset,horizon,val_rmse,ent_mean,ent_min,uv_share,u_absmax,v_absmax,temp,gamma,alpha_first,alpha_mean_lag,alpha_entropy,alpha
20260820_021547,config,"nodecay,regpre,reniter",nhs_timeseries,3,3.0087,0.348415,0.017231,0.942568,1.894271,2.077708,1.0,1.0,0.067627,3.327285,0.664901,0.0676 0.0615 0.6393 0.0787 0.0580 0.0499 0.0449
20260820_021547,config,"nodecay,regpre,reniter",nhs_timeseries,7,8.1463,0.385758,0.028433,0.943604,1.296031,1.585557,1.0,1.0,0.029253,4.189421,0.748336,0.0293 0.0279 0.1324 0.5075 0.1716 0.1002 0.0312
20260820_021547,config,"nodecay,regpre,reniter",nhs_timeseries,14,17.9496,0.498454,0.007727,0.958937,1.821009,1.567889,1.0,1.0,0.168781,3.284859,0.949074,0.1688 0.2121 0.2477 0.1297 0.0946 0.0730 0.0741
20260820_021547,config,"nodecay,regpre,reniter",japan,3,703.1453,0.696113,0.210659,0.996808,2.140739,2.000025,1.0,1.0,0.590892,1.82845,0.632468,0.5909 0.2004 0.1124 0.0406 0.0170 0.0190 0.0198
20260820_021547,config,"nodecay,regpre,reniter",japan,5,903.5563,0.584456,0.086894,0.998213,2.065099,2.044781,1.0,1.0,0.271988,2.391035,0.739987,0.2720 0.4759 0.0608 0.0587 0.0774 0.0237 0.0316
20260820_040012,config,"nodecay,regpre,reniter",nhs_timeseries,3,3.0087,0.348415,0.017231,0.942568,1.894271,2.077708,1.0,1.0,0.067627,3.327285,0.664901,0.0676 0.0615 0.6393 0.0787 0.0580 0.0499 0.0449
20260820_040012,config,"nodecay,regpre,reniter",nhs_timeseries,7,8.1463,0.385758,0.028433,0.943604,1.296031,1.585557,1.0,1.0,0.029253,4.189421,0.748336,0.0293 0.0279 0.1324 0.5075 0.1716 0.1002 0.0312
20260820_040012,config,"nodecay,regpre,reniter",nhs_timeseries,14,17.9496,0.498454,0.007727,0.958937,1.821009,1.567889,1.0,1.0,0.168781,3.284859,0.949074,0.1688 0.2121 0.2477 0.1297 0.0946 0.0730 0.0741
20260820_040012,config,"nodecay,regpre,reniter",japan,3,703.1453,0.696113,0.210659,0.996808,2.140739,2.000025,1.0,1.0,0.590892,1.82845,0.632468,0.5909 0.2004 0.1124 0.0406 0.0170 0.0190 0.0198
20260820_040012,config,"nodecay,regpre,reniter",japan,5,903.5563,0.584456,0.086894,0.998213,2.065099,2.044781,1.0,1.0,0.271988,2.391035,0.739987,0.2720 0.4759 0.0608 0.0587 0.0774 0.0237 0.0316
