# MSTAGAT-Net Experiment Results
# Format: [Timestamp] Model | Dataset, Window, Horizon, Ablation, Seed | Metrics
# ================================================================================
[20260127_030916] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 126.4065, RMSE: 341.9820, PCC: 0.9972, R2: 0.9688
[20260127_030946] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 137.0410, RMSE: 373.6910, PCC: 0.9970, R2: 0.9627
[20260127_031010] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 121.2037, RMSE: 339.9042, PCC: 0.9971, R2: 0.9692
[20260127_031029] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 145.0086, RMSE: 400.0403, PCC: 0.9969, R2: 0.9573
[20260127_031052] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 1000 | MAE: 140.9398, RMSE: 390.6390, PCC: 0.9973, R2: 0.9593
[20260127_031111] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 215.1466, RMSE: 584.1034, PCC: 0.9901, R2: 0.9090
[20260127_031140] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 30 | MAE: 236.7952, RMSE: 601.9994, PCC: 0.9867, R2: 0.9033
[20260127_031207] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 45 | MAE: 207.8243, RMSE: 554.8567, PCC: 0.9898, R2: 0.9179
[20260127_031223] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 123 | MAE: 239.4515, RMSE: 637.0611, PCC: 0.9866, R2: 0.8917
[20260127_031235] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 1000 | MAE: 232.4395, RMSE: 644.9993, PCC: 0.9878, R2: 0.8890
[20260127_031304] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 247.2509, RMSE: 664.1256, PCC: 0.9819, R2: 0.8823
[20260127_031329] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 30 | MAE: 256.0675, RMSE: 704.4522, PCC: 0.9845, R2: 0.8676
[20260127_031343] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 45 | MAE: 319.2188, RMSE: 823.0935, PCC: 0.9785, R2: 0.8192
[20260127_031409] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 123 | MAE: 287.0644, RMSE: 777.8170, PCC: 0.9782, R2: 0.8386
[20260127_031429] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 1000 | MAE: 245.0896, RMSE: 686.0026, PCC: 0.9828, R2: 0.8744
[20260127_055615] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 126.4065, RMSE: 341.9820, PCC: 0.9972, R2: 0.9688
[20260127_055634] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 215.1466, RMSE: 584.1034, PCC: 0.9901, R2: 0.9090
[20260127_055703] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 247.2509, RMSE: 664.1256, PCC: 0.9819, R2: 0.8823
[20260127_055722] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: no_agam, Seed: 5 | MAE: 128.9352, RMSE: 353.4203, PCC: 0.9974, R2: 0.9667
[20260127_055739] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: no_agam, Seed: 5 | MAE: 225.1717, RMSE: 616.7539, PCC: 0.9900, R2: 0.8985
[20260127_055757] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: no_agam, Seed: 5 | MAE: 286.0574, RMSE: 732.5561, PCC: 0.9730, R2: 0.8568
[20260127_055824] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: no_mtfm, Seed: 5 | MAE: 122.5219, RMSE: 339.1595, PCC: 0.9970, R2: 0.9693
[20260127_055836] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: no_mtfm, Seed: 5 | MAE: 233.3504, RMSE: 662.1384, PCC: 0.9912, R2: 0.8830
[20260127_055845] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: no_mtfm, Seed: 5 | MAE: 319.8256, RMSE: 867.5928, PCC: 0.9843, R2: 0.7992
[20260127_055902] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 3, Ablation: no_pprm, Seed: 5 | MAE: 230.1244, RMSE: 700.9218, PCC: 0.9846, R2: 0.8689
[20260127_055943] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: no_pprm, Seed: 5 | MAE: 251.2781, RMSE: 718.7006, PCC: 0.9825, R2: 0.8622
[20260127_060006] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 14, Ablation: no_pprm, Seed: 5 | MAE: 266.2533, RMSE: 749.3649, PCC: 0.9817, R2: 0.8502
[20260201_215951] EpiDelay-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 42 | MAE: 82.9589, RMSE: 247.8056, PCC: 0.9971, R2: 0.9836
[20260201_220226] MSTAGAT-Net | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 42 | MAE: 226.0764, RMSE: 604.9097, PCC: 0.9885, R2: 0.9024
[20260201_221201] EpiDelay-Net-Full | Dataset: australia-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 42 | MAE: 83.4837, RMSE: 383.9564, PCC: 0.9854, R2: 0.9607
