n_test,mse_base,lrv,mde_mse,mde_rmse_pct,observed_rmse_pct,dataset,horizon,baseline,family,family_size,alpha_holm
112,5149.3427734375,174279895.30916983,4421.977554202027,62.41622806534549,-50.214826347954286,australia-covid,3,cola_gnn,baselines,5,0.01
112,7262.2412109375,84700704.14625247,3082.736460477483,24.137512878378054,-26.48917685605314,australia-covid,3,CNNRNN_Res,baselines,5,0.01
112,28503.09765625,3198332179.834724,18943.2579225364,42.0865715944839,36.15268023798942,australia-covid,3,lstnet,baselines,5,0.01
112,66302.9765625,21176066282.6018,48743.367806980255,48.53749707282628,58.137786500428334,australia-covid,3,dcrnn,baselines,5,0.01
112,92835.4609375,104796236520.10391,108434.06319830992,,64.62212426438084,australia-covid,3,epignn,baselines,5,0.01
112,6163.842633928572,83967630.7344803,2901.055898185186,27.24404044909904,-37.29759502167265,australia-covid,3,persistence,floors,3,0.016666666666666666
112,4340958.806919643,17107583105874.41,1309466.7539692107,16.432889716269973,94.8263640128227,australia-covid,3,seasonal_naive,floors,3,0.016666666666666666
112,6175.4112739938855,96152353.91815457,3104.4173914875405,29.480937099450166,-37.16893225221145,australia-covid,3,ar4,floors,3,0.016666666666666666
112,14802.392578125,210253147810.088,159413.88696985078,,-237.11257914765528,australia-covid,7,cola_gnn,baselines,5,0.01
112,49633.28515625,83099892042.5605,100220.16831106685,,-84.10026199160068,australia-covid,7,CNNRNN_Res,baselines,5,0.01
112,50535.75,94795497753.12677,107040.65393484617,,-82.44903033966256,australia-covid,7,lstnet,baselines,5,0.01
112,116422.3046875,10394276715.977922,35444.75960292233,16.600354018017825,-20.205079810801042,australia-covid,7,dcrnn,baselines,5,0.01
112,107589.5234375,30864808081.877728,61078.26450665795,34.250257623585966,-25.042004009272546,australia-covid,7,epignn,baselines,5,0.01
112,27665.59598214286,136998963326.76807,121624.42419674658,,-146.58741171509843,australia-covid,7,persistence,floors,3,0.016666666666666666
112,4340958.806919643,32243065780816.0,1865865.4432893933,24.490262496171123,80.31442589547095,australia-covid,7,seasonal_naive,floors,3,0.016666666666666666
112,31704.57055951267,131331024422.76756,119081.91847103424,,-130.34563123294944,australia-covid,7,ar4,floors,3,0.016666666666666666
112,92383.453125,618739983586.3252,292904.4270066715,,-87.86724652838456,australia-covid,14,cola_gnn,baselines,5,0.01
112,112900.4921875,402921891014.29724,236364.51475622246,,-69.94181343125692,australia-covid,14,CNNRNN_Res,baselines,5,0.01
112,140354.8125,328104500705.781,213293.65623485192,,-52.41738691316502,australia-covid,14,lstnet,baselines,5,0.01
112,206277.5,470896942627.54596,255525.81395139635,,-25.725171358537004,australia-covid,14,dcrnn,baselines,5,0.01
112,215126.984375,223342292232.09512,175977.57532664985,57.34055895144421,-23.112094833208797,australia-covid,14,epignn,baselines,5,0.01
112,76556.75,700094716682.4417,294481.1523622543,,-106.37468417858705,australia-covid,14,persistence,floors,3,0.016666666666666666
112,4340958.806919643,49852263185855.49,2484972.250564991,34.61252293102077,72.59338913120365,australia-covid,14,seasonal_naive,floors,3,0.016666666666666666
112,110271.09458704955,587099168996.2372,269671.36699241714,,-71.95599563959493,australia-covid,14,ar4,floors,3,0.016666666666666666
70,2072009.25,3881384541266.081,853693.2386363315,23.319642148100993,-2.9247269003260357,japan,3,cola_gnn,baselines,5,0.01
70,3756586.0,23188489951959.707,2086626.6022844329,33.326034154169506,23.56031293526891,japan,3,CNNRNN_Res,baselines,5,0.01
70,4159193.25,46809169892905.28,2964653.732035917,46.40852490718558,27.35411507015888,japan,3,lstnet,baselines,5,0.01
70,4437129.5,71077287731580.95,3653204.0409334917,57.96739248907009,29.66612969657325,japan,3,dcrnn,baselines,5,0.01
70,3239075.75,13802305993909.314,1609845.9952242002,29.07805879185443,17.68006555170546,japan,3,epignn,baselines,5,0.01
70,5398320.113069909,113121033418410.11,4351336.23066188,55.96067224417417,36.23442926083281,japan,3,persistence,floors,3,0.016666666666666666
70,1044551.5896656535,51120528283849.125,2925153.2739059734,,-44.960814684000596,japan,3,seasonal_naive,floors,3,0.016666666666666666
70,3665196.4921262264,25952556596916.88,2084207.883297925,34.32263214503687,22.61319135811086,japan,3,ar4,floors,3,0.016666666666666666
70,2427106.25,19366502048706.91,1965157.261744824,56.37327464536075,15.445184871797156,japan,5,cola_gnn,baselines,5,0.01
70,6977596.0,288158475386607.56,7580317.848356606,,50.131095438996084,japan,5,CNNRNN_Res,baselines,5,0.01
70,5207469.0,204618703019607.22,6387698.088655857,,42.27427554582815,japan,5,lstnet,baselines,5,0.01
70,5989957.5,350515929561873.94,8360371.908524653,,46.17663226547661,japan,5,dcrnn,baselines,5,0.01
70,4400442.0,109647964074618.75,4675973.094318332,,37.203623005792885,japan,5,epignn,baselines,5,0.01
70,8933675.73525836,479727295191694.1,9234457.505226944,,55.9275040843997,japan,5,persistence,floors,3,0.016666666666666666
70,1044551.5896656535,17711352910303.312,1774353.0640415545,,-28.88957494291684,japan,5,seasonal_naive,floors,3,0.016666666666666666
70,5194089.91722609,169145569773610.9,5483331.294677017,,42.19997758811653,japan,5,ar4,floors,3,0.016666666666666666
70,3875648.5,45008707877573.805,3243456.617862534,59.61200755030346,9.53698443471741,japan,10,cola_gnn,baselines,5,0.01
70,6699813.0,252106276039078.6,7676294.8797920225,,31.196281363170897,japan,10,CNNRNN_Res,baselines,5,0.01
70,6103020.0,174836286832502.7,6392571.703183089,,27.910692242416268,japan,10,lstnet,baselines,5,0.01
70,6813000.0,267170700279695.06,7902313.140938895,,31.770206430283253,japan,10,dcrnn,baselines,5,0.01
70,4473578.5,21511734682405.63,2242319.724869468,29.376792270973905,15.799296409428754,japan,10,epignn,baselines,5,0.01
70,11309273.403039513,584423169304381.6,11034838.676331488,84.4223414146111,47.04269202432515,japan,10,persistence,floors,3,0.016666666666666666
70,1044551.5896656535,88020948457929.27,4282479.5503231725,,-74.25221391391794,japan,10,seasonal_naive,floors,3,0.016666666666666666
70,5320356.694994315,71054024917185.12,3847659.374089488,47.38781077266114,22.790120109862233,japan,10,ar4,floors,3,0.016666666666666666
70,2919597.75,13119561420369.469,1908906.531056936,41.16337724450661,-3.534392820404375,japan,15,cola_gnn,baselines,5,0.01
70,4601363.0,36509247039955.94,3184391.407781032,44.50711244666198,17.52868810321776,japan,15,CNNRNN_Res,baselines,5,0.01
70,5655534.0,122994827344607.7,5844783.500770753,,25.610893519191503,japan,15,lstnet,baselines,5,0.01
70,6732696.5,228628797739630.0,7968754.94470351,,31.820842186863054,japan,15,dcrnn,baselines,5,0.01
70,3864788.25,5420492998785.522,1226999.538030255,17.38533414217729,10.012269499651683,japan,15,epignn,baselines,5,0.01
70,10724386.018237082,495962992877598.75,11081335.30828874,,45.97933424447991,japan,15,persistence,floors,3,0.016666666666666666
70,1044551.5896656535,77999931212170.23,4394551.619053505,,-73.09367708629557,japan,15,seasonal_naive,floors,3,0.016666666666666666
70,5151322.4774389,46514416602757.56,3393604.6747533176,41.586233981187306,22.0552654980244,japan,15,ar4,floors,3,0.016666666666666666
168,2431.568115234375,6897555.880509714,709.48916406015,15.844344086216733,-2.248456984448155,ltla_timeseries,3,cola_gnn,baselines,5,0.01
168,14768.4677734375,526219754.16193426,6197.003291195273,23.81669750370917,58.511067279708804,ltla_timeseries,3,CNNRNN_Res,baselines,5,0.01
168,2385.18798828125,12692904.53329081,962.45107057835,22.76733984876377,-3.2377845194501154,ltla_timeseries,3,lstnet,baselines,5,0.01
168,4419.40087890625,23237555.80448508,1302.247031084103,16.015832828055398,24.1565144088557,ltla_timeseries,3,dcrnn,baselines,5,0.01
168,21664.68359375,443454323.8183401,5688.825338226575,14.127140664004866,65.74501296523674,ltla_timeseries,3,epignn,baselines,5,0.01
168,2623.494148825072,19233884.19273822,1120.4471786833856,24.308654344959958,1.562645656196382,ltla_timeseries,3,persistence,floors,3,0.016666666666666666
168,33146.518299066825,3961173828.1317205,16079.400013071174,28.24351761975986,72.30629738173828,ltla_timeseries,3,seasonal_naive,floors,3,0.016666666666666666
168,2838.849388816071,13166583.32506155,927.0313792998577,17.936110286670647,5.3700072777379315,ltla_timeseries,3,ar4,floors,3,0.016666666666666666
168,10019.6826171875,81137262.98963234,2493.640832335587,13.332487840412044,13.878901834717439,ltla_timeseries,7,cola_gnn,baselines,5,0.01
168,16092.3642578125,441963045.37856,5819.915815695148,20.103628201121726,32.044186723535496,ltla_timeseries,7,CNNRNN_Res,baselines,5,0.01
168,7236.263671875,123352765.64307055,3074.667586532305,24.164462090910487,-1.339638334965576,ltla_timeseries,7,lstnet,baselines,5,0.01
168,10192.787109375,195421333.72766846,3869.9888204767685,21.239550364705373,14.613332350115616,ltla_timeseries,7,dcrnn,baselines,5,0.01
168,25130.515625,2712964483.339965,14419.353138318202,34.714369299799856,45.62042089585567,ltla_timeseries,7,epignn,baselines,5,0.01
168,7912.461430536091,274171118.36395615,4335.052002773109,32.75987369372424,3.087289886477307,ltla_timeseries,7,persistence,floors,3,0.016666666666666666
168,33146.518299066825,6168286223.240935,20562.017229026118,38.38321382441765,52.650261690871936,ltla_timeseries,7,seasonal_naive,floors,3,0.016666666666666666
168,8522.16630954636,118359929.66915527,2848.3005191011075,18.404815869149427,6.618350945835472,ltla_timeseries,7,ar4,floors,3,0.016666666666666666
168,23668.236328125,4648933890.47189,19730.79775295329,59.212794845378205,19.397108669593933,ltla_timeseries,14,cola_gnn,baselines,5,0.01
168,18066.3515625,636576304.5043252,7301.1823303658175,22.80748298995723,7.743209756635149,ltla_timeseries,14,CNNRNN_Res,baselines,5,0.01
168,16983.21484375,158965390.3527877,3648.5411614193185,11.390304451687715,4.8467519440263285,ltla_timeseries,14,lstnet,baselines,5,0.01
168,18844.95703125,361360629.22146493,5500.95860189342,15.851686685172883,9.669171494802441,ltla_timeseries,14,dcrnn,baselines,5,0.01
168,30806.625,4273552457.971222,18917.444974186754,37.87678967529134,29.350107024278905,ltla_timeseries,14,epignn,baselines,5,0.01
168,24381.743648695563,5325886772.568119,19972.096701861585,57.47253171084763,20.585247095319005,ltla_timeseries,14,persistence,floors,3,0.016666666666666666
168,33146.518299066825,6561216331.202518,22167.661144703772,42.44810756454177,31.88941493699606,ltla_timeseries,14,seasonal_naive,floors,3,0.016666666666666666
168,18712.364853113813,656061163.4373586,7009.706923900693,20.917950323791366,9.349703077056947,ltla_timeseries,14,ar4,floors,3,0.016666666666666666
179,5.509275436401367,20.062996402203993,1.170496647738602,11.25650851291079,5.350608869562345,nhs_timeseries,3,cola_gnn,baselines,5,0.01
179,11.498117446899414,152.6023835351759,3.228144265791569,15.19163700179551,34.483347870291446,nhs_timeseries,3,CNNRNN_Res,baselines,5,0.01
179,6.586660861968994,53.232316798021174,1.9066016329815185,15.706706421817096,13.436976762708962,nhs_timeseries,3,lstnet,baselines,5,0.01
179,16.150922775268555,267.2401902347201,4.271920507777455,14.238708543428135,44.72020841647538,nhs_timeseries,3,dcrnn,baselines,5,0.01
179,33.794288635253906,1518.0094450888303,10.181447201847343,16.410356919642034,61.784159757125025,nhs_timeseries,3,epignn,baselines,5,0.01
179,8.935420297408669,97.10269731238414,2.4354454794918716,14.709954834875704,25.6796793688031,nhs_timeseries,3,persistence,floors,3,0.016666666666666666
179,3478.5814942098145,56246313.2216125,1853.5734296093099,31.651864899012494,96.23327446520173,nhs_timeseries,3,seasonal_naive,floors,3,0.016666666666666666
179,6.5277859268964304,30.596201230817055,1.3670881510231934,11.085772145379035,13.04749151406991,nhs_timeseries,3,ar4,floors,3,0.016666666666666666
179,35.44144821166992,11189.188571017241,28.283116680934537,55.05822984182564,-16.65882363573261,nhs_timeseries,7,cola_gnn,baselines,5,0.01
179,58.11439514160156,20329.027381190837,38.122929772854725,41.34832039807601,8.89725524328393,nhs_timeseries,7,CNNRNN_Res,baselines,5,0.01
179,37.38736343383789,13659.214450164412,31.249338642956015,59.48163622339381,-13.582363833909428,nhs_timeseries,7,lstnet,baselines,5,0.01
179,44.7530632019043,15617.35967274782,33.414254403514114,49.66473809764494,-3.815437688776102,nhs_timeseries,7,dcrnn,baselines,5,0.01
179,63.46648025512695,16571.53860817848,34.41988263654662,32.3488120187164,12.82316136557855,nhs_timeseries,7,epignn,baselines,5,0.01
179,35.768685766405525,14650.810263912537,30.609009695545765,62.01958315972974,-16.123958257463954,nhs_timeseries,7,persistence,floors,3,0.016666666666666666
179,3478.5814942098145,127246680.84613751,2852.60532345786,57.579302076592995,88.2246931928094,nhs_timeseries,7,seasonal_naive,floors,3,0.016666666666666666
179,54.92466842907061,13972.842870648688,29.892404095762014,32.4902738693839,6.289209642537785,nhs_timeseries,7,ar4,floors,3,0.016666666666666666
179,113.51151275634766,263746.8563807811,143.12413453337027,,-19.9132013991566,nhs_timeseries,14,cola_gnn,baselines,5,0.01
179,155.6035919189453,588361.9602129288,213.7674224472818,,-2.418201349828397,nhs_timeseries,14,CNNRNN_Res,baselines,5,0.01
179,83.4481201171875,468153.20316596975,190.6835493321294,,-39.855218070754226,nhs_timeseries,14,lstnet,baselines,5,0.01
179,140.11265563964844,540323.2091266846,204.85475020713716,,-7.931514521286398,nhs_timeseries,14,dcrnn,baselines,5,0.01
179,124.44924926757812,318897.44394413126,157.37826265109254,,-14.522498147674101,nhs_timeseries,14,epignn,baselines,5,0.01
179,88.32967408831051,491868.46744401514,184.85627896450845,,-35.93573492509978,nhs_timeseries,14,persistence,floors,3,0.016666666666666666
179,3478.5814942098145,236616126.70105666,4054.4494140631864,,78.33863290421354,nhs_timeseries,14,seasonal_naive,floors,3,0.016666666666666666
179,267.2365264644042,580370.0001066643,200.79929950716706,50.13936106616552,21.848189336153833,nhs_timeseries,14,ar4,floors,3,0.016666666666666666
157,420925.0625,73211229653.25127,75742.2802902882,9.442970125425632,-0.9300374887627916,region785,3,cola_gnn,baselines,5,0.01
157,575502.375,343244455408.6358,164002.810456227,15.440748532279414,13.68241781113585,region785,3,CNNRNN_Res,baselines,5,0.01
157,448975.3125,186943289972.6689,121033.18610170846,14.535181735413605,2.273668482824198,region785,3,lstnet,baselines,5,0.01
157,856434.0625,3166141015272.989,498097.83270084206,35.31577277805088,29.241949134042457,region785,3,dcrnn,baselines,5,0.01
157,448136.71875,194807528422.77417,123552.74348514597,14.89437362314776,2.182274066888945,region785,3,epignn,baselines,5,0.01
157,645494.6267515924,529502127970.5907,192622.9280627722,16.239111625047,18.496452642900596,region785,3,persistence,floors,3,0.016666666666666666
157,983174.1426751593,7890855495385.372,743594.5028543122,50.636069776864176,33.95991812570106,region785,3,seasonal_naive,floors,3,0.016666666666666666
157,629051.6488368482,606515238012.5576,206155.5274625359,18.007581187468023,17.438100810010717,region785,3,ar4,floors,3,0.016666666666666666
157,638130.8125,294918131597.5839,154013.56091243596,12.89954536343869,0.43681956579151304,region785,5,cola_gnn,baselines,5,0.01
157,998246.0,1499593035739.8994,347292.12267867225,19.247436163857714,20.39601127348425,region785,5,CNNRNN_Res,baselines,5,0.01
157,618908.0625,1188688937878.7659,309202.02951102966,29.26053636590723,-1.0975308402728867,region785,5,lstnet,baselines,5,0.01
157,1408203.875,9702281975332.457,883375.1364787131,38.95135394962421,32.97746482227982,region785,5,dcrnn,baselines,5,0.01
157,744965.6875,558440941656.6718,211932.15326348093,15.411927053498541,7.8520911883592674,region785,5,epignn,baselines,5,0.01
157,1124936.0707006368,3227459917767.496,481796.0711909679,24.388328432505656,25.012357957283182,region785,5,persistence,floors,3,0.016666666666666666
157,983174.1426751593,10104138570273.154,852476.6110296897,63.53984851711773,19.788175528248765,region785,5,seasonal_naive,floors,3,0.016666666666666666
157,1045774.7696929831,3366642349008.696,492075.0174722239,27.235745419781544,22.225981525705162,region785,5,ar4,floors,3,0.016666666666666666
157,969933.3125,3931146586201.6553,581360.912331518,36.705636449236636,10.429141550822674,region785,10,cola_gnn,baselines,5,0.01
157,1639455.0,18089540196470.07,1247096.2508237134,51.079383614765696,31.104965179112387,region785,10,CNNRNN_Res,baselines,5,0.01
157,925900.0625,4311565382712.165,608840.7296583486,41.48216985424371,8.324008099752556,region785,10,lstnet,baselines,5,0.01
157,2250930.75,46881400294637.27,2007643.038094082,67.12399635645754,41.20280510149838,region785,10,dcrnn,baselines,5,0.01
157,1366333.375,12475702691523.762,1035663.6126252309,50.80523353788411,24.532609053881394,region785,10,epignn,baselines,5,0.01
157,2402596.064968153,36607001980015.49,1677617.2812863586,45.06839760418363,43.08885889888033,region785,10,persistence,floors,3,0.016666666666666666
157,983174.1426751593,12623732866424.73,985155.3217191339,,11.034330732768538,region785,10,seasonal_naive,floors,3,0.016666666666666666
157,1762880.7246068942,25933647898106.61,1412025.7441755557,55.38793171417786,33.56052230152289,region785,10,ar4,floors,3,0.016666666666666666
157,1122101.375,11168981907075.113,1014309.136466737,69.00599503609492,5.090786167606165,region785,15,cola_gnn,baselines,5,0.01
157,1831182.625,37560866656505.57,1860078.8126081172,,25.70516991323919,region785,15,CNNRNN_Res,baselines,5,0.01
157,1165676.625,13364249314538.793,1109521.7706122492,78.05151194175764,6.881626963821819,region785,15,lstnet,baselines,5,0.01
157,2672013.25,100153857328258.66,3037367.795606302,,38.49575104657647,region785,15,dcrnn,baselines,5,0.01
157,1497272.875,25163047620483.176,1522457.4492178787,,17.83744333009418,region785,15,epignn,baselines,5,0.01
157,3387501.8031847132,81818667555619.58,2596057.7262779134,51.66403993886314,45.375854564545925,region785,15,persistence,floors,3,0.016666666666666666
157,983174.1426751593,17220536668204.21,1190999.2415167273,,-1.3932862547947789,region785,15,seasonal_naive,floors,3,0.016666666666666666
157,2000231.4546843744,54122745386696.4,2111436.6370927305,,28.913964024117746,region785,15,ar4,floors,3,0.016666666666666666
72,30492.658203125,450098879.5181816,9049.340173427727,16.14125656634603,3.9802725071882317,state360,3,cola_gnn,baselines,5,0.01
72,96359.2578125,48666121831.53117,94097.11704251217,84.6780835307497,45.985372077973565,state360,3,CNNRNN_Res,baselines,5,0.01
72,55080.11328125,13175755853.18791,48961.049390706416,66.66925035696958,28.55683276349018,state360,3,lstnet,baselines,5,0.01
72,42870.453125,5559358624.739228,31803.527562098065,49.19172416531501,19.01975711533129,state360,3,dcrnn,baselines,5,0.01
72,31075.890625,306879977.2583207,7472.178272566522,12.847797984104092,4.885589663272838,state360,3,epignn,baselines,5,0.01
72,43752.755952380954,5554539632.902503,30016.795854183605,43.96920258968618,19.84042518986745,state360,3,persistence,floors,3,0.016666666666666666
72,65423.4929138322,16202092243.176327,51265.57665206542,53.48073908919081,34.44719974620449,state360,3,seasonal_naive,floors,3,0.016666666666666666
72,45198.493776915944,2916444077.035467,21750.393739362848,27.97357687894436,21.132852970125594,state360,3,ar4,floors,3,0.016666666666666666
72,42507.515625,4299430030.154316,28797.189124067176,43.20749341131589,11.253137535901203,state360,5,cola_gnn,baselines,5,0.01
72,103721.390625,64173639909.90079,111255.8849043932,,43.18647915510544,state360,5,CNNRNN_Res,baselines,5,0.01
72,75903.1171875,45239265567.89042,93411.94796760747,,33.58654656926101,state360,5,lstnet,baselines,5,0.01
72,65077.6953125,26337793394.297615,71274.52785874101,,28.275127073449646,state360,5,dcrnn,baselines,5,0.01
72,42697.6171875,3178465763.870767,24760.158746740337,35.184536007464274,11.45092067636353,state360,5,epignn,baselines,5,0.01
72,73339.91609977324,19002691489.34808,57164.91513506738,53.037419422795026,32.43595146640561,state360,5,persistence,floors,3,0.016666666666666666
72,65423.4929138322,16096059973.56638,52611.63458685185,55.747358415399226,28.464930063901072,state360,5,seasonal_naive,floors,3,0.016666666666666666
72,60766.73533641786,9272469613.512722,39931.875986752464,41.445222623008185,25.774536664330228,state360,5,ar4,floors,3,0.016666666666666666
72,62095.82421875,12260175537.796724,52519.27693187888,60.72888060205122,11.705554284847807,state360,10,cola_gnn,baselines,5,0.01
72,110920.34375,70636074830.91096,126061.84907119087,,33.93689542174653,state360,10,CNNRNN_Res,baselines,5,0.01
72,94584.1484375,50533187176.52413,106624.92514983886,,28.458934595945728,state360,10,lstnet,baselines,5,0.01
72,105247.4765625,109253032179.14156,156778.73055379133,,32.17985146711813,state360,10,dcrnn,baselines,5,0.01
72,59949.47265625,8170687842.769116,42874.562699109854,46.63131186353452,10.138865155618005,state360,10,epignn,baselines,5,0.01
72,176521.45464852607,206074927875.02344,203310.7398565055,,47.63201860019555,state360,10,persistence,floors,3,0.016666666666666666
72,65423.4929138322,14571120031.396536,54062.26168844522,58.32785689390852,13.980340523075284,state360,10,seasonal_naive,floors,3,0.016666666666666666
72,105798.28678086073,67871003298.670715,116678.24204156424,,32.35662549608706,state360,10,ar4,floors,3,0.016666666666666666
72,60901.33203125,13661498445.750652,60260.71182676258,89.743789635247,0.4308330330180188,state360,15,cola_gnn,baselines,5,0.01
72,83473.8828125,37101905838.32598,99307.76282949153,,14.952223896404027,state360,15,CNNRNN_Res,baselines,5,0.01
72,102236.578125,76320314783.2139,142431.21053164353,,23.15154920217185,state360,15,lstnet,baselines,5,0.01
72,110354.703125,114336395695.34338,174332.09036654516,,26.032175427049353,state360,15,dcrnn,baselines,5,0.01
72,65707.3203125,17990338564.98602,69152.001908481,,4.141331677772541,state360,15,epignn,baselines,5,0.01
72,247460.24263038547,382082205144.88666,300912.92565963056,,50.60470854965023,state360,15,persistence,floors,3,0.016666666666666666
72,65423.4929138322,12070745248.418009,53484.689577465266,57.28174187881378,3.933624395183677,state360,15,seasonal_naive,floors,3,0.016666666666666666
72,117986.0910216377,110769035477.11165,162021.11792808297,,28.46429475536213,state360,15,ar4,floors,3,0.016666666666666666
