dataset,horizon,msagat_v1,msagat_v2,msagat_best_arm,best_baseline,best_baseline_name,persistence,seasonal_naive,ar4,best_floor,best_floor_name,best_trained,v2_beats_floor,any_trained_beats_floor,floor_margin_pct
australia-covid,3,212.426239,104.8443745,104.8443745,71.758919,cola_gnn_lg,78.510144,2083.496774,78.583785,78.510144,persistence,71.758919,False,True,-9.4
australia-covid,7,425.651871,394.485452,306.617706,121.665085,cola_gnn_lg,166.329781,2083.496774,178.057773,166.329781,persistence,121.665085,False,True,-36.7
australia-covid,14,649.525574,571.015853,485.992468,303.946472,cola_gnn_lg,276.688905,2083.496774,332.070918,276.688905,persistence,303.946472,False,False,9.0
japan,3,1410.376221,1481.54746,1243.556469,1439.44751,cola_gnn,2323.428525,1022.033067,1914.47029,1022.033067,seasonal_naive,1243.556469,False,False,17.8
japan,5,1435.0877075,1317.294076,1274.648816,1557.917236,cola_gnn,2988.925515,1022.033067,2279.05461,1022.033067,seasonal_naive,1274.648816,False,False,19.8
japan,10,1686.069946,1780.915246,1686.069946,1968.666626,cola_gnn,3362.926315,1022.033067,2306.589841,1022.033067,seasonal_naive,1686.069946,False,False,39.4
japan,15,1750.9554444999999,1769.074616,1750.9554444999999,1708.683105,cola_gnn,3274.810837,1022.033067,2269.652501,1022.033067,seasonal_naive,1708.683105,False,False,40.2
ltla_timeseries,3,49.782001,50.419668,49.782001,48.838387,lstnet,51.220056,182.061853,53.280854,51.220056,persistence,48.838387,True,True,-4.9
ltla_timeseries,7,86.1812895,86.205811,85.037779,85.066231,lstnet,88.952018,182.061853,92.31558,88.952018,persistence,85.037779,True,True,-4.6
ltla_timeseries,14,116.39669,124.003393,116.39669,130.319672,lstnet,156.146545,182.061853,136.793146,136.793146,ar4,116.39669,True,True,-17.5
nhs_timeseries,3,3.953762,2.279624,2.049793,2.347185,cola_gnn,2.989217,58.979501,2.554953,2.554953,ar4,2.049793,True,True,-24.6
nhs_timeseries,7,6.47715,6.345886500000001,4.965511,5.953272,cola_gnn_lg,5.980693,58.979501,7.411118,5.980693,persistence,4.965511,False,True,-20.4
nhs_timeseries,14,11.230617,11.236254500000001,8.737033,9.134995,lstnet_lg,9.398387,58.979501,16.347371,9.398387,persistence,8.737033,False,True,-7.6
region785,3,687.305969,654.821344,654.821344,648.787354,cola_gnn_lg,803.426802,991.551382,793.127763,793.127763,ar4,648.787354,True,True,-22.2
region785,5,882.159607,795.341454,795.341454,786.707092,lstnet_lg,1060.630035,991.551382,1022.631297,991.551382,seasonal_naive,786.707092,True,True,-26.0
region785,10,998.104065,882.140323,882.140323,962.237,lstnet_lg,1550.030988,991.551382,1327.735186,991.551382,seasonal_naive,882.140323,True,True,-12.4
region785,15,1173.999512,1005.366531,927.122928,1059.292847,cola_gnn,1840.516722,991.551382,1414.295392,991.551382,seasonal_naive,927.122928,False,True,-6.9
state360,3,163.583115,167.671061,163.583115,174.621475,cola_gnn,209.171595,255.780165,212.599374,209.171595,persistence,163.583115,True,True,-27.9
state360,5,196.574036,182.97252,181.36591,206.173508,cola_gnn,270.813434,255.780165,246.509098,246.509098,ar4,181.36591,True,True,-35.9
state360,10,231.673065,220.021227,220.021227,244.84581,epignn,420.144564,255.780165,325.266486,255.780165,seasonal_naive,220.021227,True,True,-16.3
state360,15,244.969727,245.718734,244.969727,246.781952,cola_gnn,497.453759,255.780165,343.491035,255.780165,seasonal_naive,244.969727,True,True,-4.4
