# MSTAGAT-Net Experiment Results
# Format: [Timestamp] Model | Dataset, Window, Horizon, Ablation, Seed | Metrics
# ================================================================================
[20260127_023211] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 319.1181, RMSE: 1066.2588, PCC: 0.8715, R2: 0.7300
[20260127_023229] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 332.5515, RMSE: 1118.4314, PCC: 0.8719, R2: 0.7029
[20260127_023311] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 315.8507, RMSE: 1021.3468, PCC: 0.8830, R2: 0.7523
[20260127_023338] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 344.6654, RMSE: 1152.8853, PCC: 0.8407, R2: 0.6844
[20260127_023355] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 1000 | MAE: 349.6877, RMSE: 1148.4720, PCC: 0.8373, R2: 0.6868
[20260127_023838] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 319.1181, RMSE: 1066.2588, PCC: 0.8715, R2: 0.7300
[20260127_023859] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 332.5515, RMSE: 1118.4314, PCC: 0.8719, R2: 0.7029
[20260127_023943] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 315.8507, RMSE: 1021.3468, PCC: 0.8830, R2: 0.7523
[20260127_024010] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 344.6654, RMSE: 1152.8853, PCC: 0.8407, R2: 0.6844
[20260127_024028] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 3, Ablation: none, Seed: 1000 | MAE: 349.6877, RMSE: 1148.4720, PCC: 0.8373, R2: 0.6868
[20260127_024105] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 5, Ablation: none, Seed: 5 | MAE: 393.5923, RMSE: 1107.9531, PCC: 0.8764, R2: 0.7085
[20260127_024144] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 5, Ablation: none, Seed: 30 | MAE: 372.1359, RMSE: 1074.4901, PCC: 0.8805, R2: 0.7258
[20260127_024213] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 5, Ablation: none, Seed: 45 | MAE: 355.6743, RMSE: 1067.3703, PCC: 0.8923, R2: 0.7294
[20260127_024244] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 5, Ablation: none, Seed: 123 | MAE: 407.8192, RMSE: 1220.9079, PCC: 0.8417, R2: 0.6460
[20260127_024308] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 5, Ablation: none, Seed: 1000 | MAE: 441.3179, RMSE: 1234.4206, PCC: 0.8184, R2: 0.6381
[20260127_024332] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 10, Ablation: none, Seed: 5 | MAE: 502.5988, RMSE: 1467.6577, PCC: 0.8013, R2: 0.4885
[20260127_024417] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 10, Ablation: none, Seed: 30 | MAE: 476.3921, RMSE: 1359.5972, PCC: 0.8203, R2: 0.5610
[20260127_024452] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 10, Ablation: none, Seed: 45 | MAE: 482.3511, RMSE: 1432.2526, PCC: 0.7874, R2: 0.5128
[20260127_024601] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 10, Ablation: none, Seed: 123 | MAE: 444.8351, RMSE: 1265.9680, PCC: 0.8231, R2: 0.6194
[20260127_024619] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 10, Ablation: none, Seed: 1000 | MAE: 537.7183, RMSE: 1503.2866, PCC: 0.7536, R2: 0.4633
[20260127_024641] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 15, Ablation: none, Seed: 5 | MAE: 546.1403, RMSE: 1448.3618, PCC: 0.7523, R2: 0.5018
[20260127_024719] MSTAGAT-Net | Dataset: japan, Window: 20, Horizon: 15, Ablation: none, Seed: 30 | MAE: 515.9011, RMSE: 1408.8734, PCC: 0.8125, R2: 0.5286
