model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,sim_mat
EpiSIG-Net-V3,ltla_timeseries,20,3,no_agam,1,True,20260204_230857,40.73086929321289,31.02490425109864,97.62114869163854,76.09609985351562,0.8962345123291016,0.8593699932098389,2.1768157054680163e-08,0.7979565858840942,0.7250835299491882,0.8017615675926208,0.7380632162094116,43.58464431762695,default
MSAGAT-Net,ltla_timeseries,20,3,no_agam,5,False,20260410_161735,24.49548721313477,21.19066047668457,51.50357902460517,37.55601501464844,0.9438462257385254,0.9234905242919922,,0.8833509683609009,0.8293324112892151,0.8852787017822266,0.8436138033866882,27.39014434814453,default
MSTAGAT-Net,ltla_timeseries,20,3,no_agam,5,True,20260209_081835,24.1426010131836,19.37346267700196,48.33475999151646,35.750762939453125,0.9478561878204346,0.9244368076324464,2.2729992110726016e-08,0.8972633481025696,0.8420765399932861,0.8976221084594727,0.8526138067245483,26.46786499023437,default
MSAGAT-Net,ltla_timeseries,20,3,no_agam,42,True,20260410_204120,24.169330596923828,20.061954498291016,49.36056701631247,36.162086486816406,0.9451035857200624,0.920303761959076,,0.8928563594818115,0.8419073820114136,0.8931108713150024,0.846244215965271,26.99637985229492,default
EpiSIG-Net-V3,ltla_timeseries,20,3,no_mtfm,1,True,20260204_233153,40.73086929321289,31.02490425109864,97.62114869163854,76.09609985351562,0.8962345123291016,0.8593699932098389,2.1768157054680163e-08,0.7979565858840942,0.7250835299491882,0.8017615675926208,0.7380632162094116,43.58464431762695,default
MSAGAT-Net,ltla_timeseries,20,3,no_mtfm,5,False,20260410_162020,25.19034576416016,20.844785690307617,50.16578229122541,37.27495193481445,0.9436551332473756,0.9149882793426514,,0.8893321752548218,0.8303514719009399,0.8899165391921997,0.8351209163665771,28.2534236907959,default
MSTAGAT-Net,ltla_timeseries,20,3,no_mtfm,5,True,20260209_083233,25.645936965942383,20.3992919921875,49.967342850731015,37.08620071411133,0.9439478516578674,0.9198178648948668,2.5872614273225736e-08,0.890205979347229,0.8300257921218872,0.8902270793914795,0.8431956171989441,27.67167091369629,default
MSAGAT-Net,ltla_timeseries,20,3,no_mtfm,42,True,20260410_204453,27.35894775390625,21.69600486755371,51.54746940018006,39.07926559448242,0.9400423765182496,0.9064745903015136,,0.8831521272659302,0.8103598356246948,0.8831632733345032,0.8177263736724854,30.15928840637207,default
EpiSIG-Net-V3,ltla_timeseries,20,3,no_pprm,1,True,20260204_235440,40.73086929321289,31.02490425109864,97.62114869163854,76.09609985351562,0.8962345123291016,0.8593699932098389,2.1768157054680163e-08,0.7979565858840942,0.7250835299491882,0.8017615675926208,0.7380632162094116,43.58464431762695,default
MSAGAT-Net,ltla_timeseries,20,3,no_pprm,5,False,20260410_162519,23.768081665039062,20.79465103149414,50.01633034101212,36.03459548950195,0.9451277852058412,0.92572021484375,,0.8899905681610107,0.8439018726348877,0.8916845917701721,0.8528326749801636,26.813640594482425,default
MSTAGAT-Net,ltla_timeseries,20,3,no_pprm,5,True,20260209_084535,23.870206832885746,19.968320846557617,48.973665595654566,35.91925811767578,0.9459475874900818,0.9223111867904664,1.9929286665387732e-08,0.894529402256012,0.8442020416259766,0.8947332501411438,0.8482031226158142,26.81253242492676,default
MSAGAT-Net,ltla_timeseries,20,3,no_pprm,42,True,20260410_205132,24.58950424194336,20.37870407104492,50.590552998898666,37.234222412109375,0.9420968890190125,0.9202133417129515,,0.887450098991394,0.8312125205993652,0.8874792456626892,0.8410601615905762,27.251855850219727,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,1,True,20260204_224606,40.73086929321289,31.02490425109864,97.62114869163854,76.09609985351562,0.8962345123291016,0.8593699932098389,2.1768157054680163e-08,0.7979565858840942,0.7250835299491882,0.8017615675926208,0.7380632162094116,43.58464431762695,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,2,True,20260204_145815,37.91940689086914,28.81955337524414,93.5898580159063,72.76225280761719,0.903602123260498,0.8699543476104736,2.084721906214781e-08,0.8142989277839661,0.7498869299888611,0.8164165019989014,0.7569446563720703,40.54227066040039,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,3,True,20260204_150932,39.53401184082031,29.930496215820312,94.95827619933924,73.97270965576172,0.9009078741073608,0.8656506538391113,2.2389320619709e-08,0.8088287711143494,0.7410851120948792,0.8110809326171875,0.74952632188797,42.143951416015625,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,4,True,20260204_151734,41.96089172363281,32.153926849365234,101.0771383183408,78.6964340209961,0.8887564539909363,0.8501911759376526,2.211467275969881e-08,0.7833978533744812,0.7063456773757935,0.7886558175086975,0.7228075265884399,44.93092346191406,default
MSAGAT-Net,ltla_timeseries,20,3,none,5,False,20260410_161414,23.95138359069824,20.34034919738769,49.700855614648376,36.35011291503906,0.9448984265327454,0.9205856919288636,,0.8913739323616028,0.840599775314331,0.8921874761581421,0.8462688326835632,26.80962562561035,default
MSTAGAT-Net,ltla_timeseries,20,3,none,5,True,20260209_081228,23.9433650970459,20.13642311096192,49.43033143744461,36.1730842590332,0.9449337124824524,0.9206659197807312,2.057278614131519e-08,0.8925532698631287,0.8420751690864563,0.8927665948867798,0.8464957475662231,26.71723175048828,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,6,True,20260204_154330,39.55918884277344,30.100566864013672,95.22518028829089,74.22687530517578,0.9020302295684814,0.8674392700195312,2.1013939033309725e-08,0.8077526092529297,0.7383784651756287,0.8121218681335449,0.7520806789398193,42.353424072265625,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,7,True,20260204_155055,39.88740158081055,30.29546356201172,96.28525125570894,75.1440200805664,0.8995391726493835,0.8636725544929504,2.119648812026753e-08,0.803448498249054,0.7314581274986267,0.8074398040771484,0.7449663281440735,42.6868782043457,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,8,True,20260204_160158,39.74226760864258,30.23912048339844,96.09760662992602,74.93124389648438,0.9012699127197266,0.8667919039726257,2.0708107228983863e-08,0.80421382188797,0.732811689376831,0.8098204135894775,0.7502807974815369,42.57804489135742,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,9,True,20260204_160721,38.78112411499024,29.3696403503418,94.11489404578852,73.3325424194336,0.9036579728126526,0.8699957132339478,2.1276562733874016e-08,0.8122094869613647,0.7447778582572937,0.8156194686889648,0.756706953048706,41.44113540649414,default
EpiSIG-Net-V3,ltla_timeseries,20,3,none,10,True,20260204_162629,38.06288528442383,29.18185806274414,93.45922092850176,72.59526062011719,0.9049597382545472,0.8728353977203369,2.057691439460996e-08,0.814816951751709,0.7508183121681213,0.8178234100341797,0.7613482475280762,40.71230316162109,default
MSTAGAT-Net,ltla_timeseries,20,3,none,20,True,20260202_213345,37.488529205322266,28.264142990112305,92.53176713803482,72.07430267333984,0.9059723615646362,0.8725999593734741,2.1009903150570608e-08,0.8184741139411926,0.754302978515625,0.8206217288970947,0.761772632598877,40.00706481933594,default
MSTAGAT-Net,ltla_timeseries,20,3,none,30,False,20260127_034535,47.7168083190918,35.83263397216797,105.11090682881108,83.14337921142578,0.9097756743431092,0.8844990134239197,2.6637977157406567e-08,0.7657646536827087,0.6572155952453613,0.7881851196289062,0.7321239113807678,50.47568893432617,default
MSTAGAT-Net,ltla_timeseries,20,3,none,30,True,20260202_220843,38.08998489379883,28.940353393554688,92.86292821949996,72.21868896484375,0.9061583280563354,0.8738127946853638,2.1028528252031723e-08,0.8171724677085876,0.7530439496040344,0.8199884295463562,0.763299822807312,40.69559097290039,default
MSAGAT-Net,ltla_timeseries,20,3,none,30,True,20260811_090925,24.590600967407227,20.3408432006836,49.9070645088511,36.9145622253418,0.944171667098999,0.9165300726890564,,0.8904707431793213,0.8349327445030212,0.8913313746452332,0.8392972946166992,27.62968063354492,default
MSAGAT-Net.loggrowth.quant,ltla_timeseries,20,3,none,30,True,20260814_032136,24.27658335478472,21.218397066200907,52.22665399084958,37.72679753858881,0.9407345317512904,0.9192745858204044,,0.8800526550060964,0.8244902143421929,0.8825897925437348,0.8372692298560621,27.289532740219624,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,ltla_timeseries,20,3,none,30,True,20260819_092348,24.2796347777064,21.22426622338057,52.23571668382163,37.73258473464437,0.9407312465675064,0.9192759215217492,,0.8800110233796031,0.8244412097342693,0.8825629890244748,0.83726016120942,27.29335213809017,default
MSAGAT-Net,ltla_timeseries,20,3,none,42,True,20260811_090913,24.133996963500977,20.44843864440918,49.78200034745239,36.63361740112305,0.945060968399048,0.9189031720161438,,0.8910189867019653,0.8374125361442566,0.8923576474189758,0.8428898453712463,27.176149368286133,default
MSAGAT-Net.loggrowth.quant,ltla_timeseries,20,3,none,42,True,20260814_032149,22.38077086135478,20.66854650453321,50.41966813687402,34.83116298676853,0.9426143147105128,0.9340233961112744,,0.8882091651301623,0.8512943127792485,0.8884977879883552,0.8613431632960534,25.15261727158649,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,ltla_timeseries,20,3,none,42,True,20260819_092238,22.49799808445904,19.914065663369502,50.99999355646169,35.982617919045786,0.9417041971431932,0.928317937406047,,0.8856209523013212,0.8402711083946431,0.8859331462028771,0.8470405429172688,25.319523619046425,default
MSTAGAT-Net,ltla_timeseries,20,3,none,45,False,20260127_035417,48.14875793457031,36.78971862792969,106.58936153382054,84.24369812011719,0.913625955581665,0.8900320529937744,2.4450363511618892e-08,0.759128987789154,0.646941065788269,0.7868070006370544,0.7335582375526428,51.32289123535156,default
MSTAGAT-Net,ltla_timeseries,20,3,none,45,True,20260202_232656,38.4337272644043,28.862489700317383,93.40357870887496,72.75807189941406,0.9041131734848022,0.8701404929161072,2.3048693620353333e-08,0.8150374293327332,0.7498205900192261,0.8170168399810791,0.7574780583381653,40.70322799682617,default
MSAGAT-Net,ltla_timeseries,20,3,none,45,True,20260811_090937,22.77886009216309,19.374011993408203,47.967645549174605,34.653099060058594,0.9496319890022278,0.930670440196991,,0.8988180756568909,0.8565300703048706,0.9002455472946167,0.864077091217041,25.476757049560547,default
MSAGAT-Net.loggrowth.quant,ltla_timeseries,20,3,none,45,True,20260814_032202,23.62043504474167,20.60263216717609,51.44514949290977,36.86262725288714,0.9406753949842338,0.92130036893115,,0.8836155118236115,0.8325019860741921,0.8846476592637355,0.8412898223812728,26.51156375825716,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,ltla_timeseries,20,3,none,45,True,20260819_092543,23.616737203030663,20.592163724048184,51.436134071307,36.85843550892427,0.9406830409649578,0.9212928414085166,,0.8836562994703289,0.8325294273975506,0.8846752315144728,0.8412691513708425,26.507623639476087,default
MSTAGAT-Net,ltla_timeseries,20,3,none,100,True,20260202_235653,39.70869064331055,30.15218162536621,95.58596016806024,74.505615234375,0.9015800356864928,0.8670344352722168,2.1464822808070494e-08,0.8062931299209595,0.7365660071372986,0.8104332685470581,0.7504650354385376,42.43964767456055,default
MSTAGAT-Net,ltla_timeseries,20,3,none,123,False,20260127_040246,48.34218215942383,36.65798568725586,105.96527106498148,83.958984375,0.9148664474487304,0.8888834714889526,2.299608503619765e-08,0.7619413733482361,0.6503689289093018,0.7943425178527832,0.7440643906593323,51.95396423339844,default
MSTAGAT-Net,ltla_timeseries,20,3,none,123,True,20260203_000854,36.31228256225586,27.353445053100582,90.87506447728111,70.64254760742188,0.9096352458000184,0.8792094588279724,2.1509144687570373e-08,0.8249160647392273,0.7643066048622131,0.8270817399024963,0.7731032967567444,38.52573394775391,default
MSAGAT-Net,ltla_timeseries,20,3,none,123,True,20260811_090949,25.255550384521484,21.42728614807129,51.79758200874945,38.076698303222656,0.9413926601409912,0.9142610430717468,,0.8820154666900635,0.8240272998809814,0.88377845287323,0.8327339887619019,28.326868057250977,default
MSAGAT-Net.loggrowth.quant,ltla_timeseries,20,3,none,123,True,20260814_032124,22.49441879706556,20.30670169933717,49.33796677140066,34.78545156925226,0.9468798590237631,0.9354904273649026,,0.892954422321495,0.8512659970369502,0.8942665351721731,0.8638484513248078,25.33983002734136,default
