# MSTAGAT-Net Experiment Results
# Format: [Timestamp] Model | Dataset, Window, Horizon, Ablation, Seed | Metrics
# ================================================================================
[20260127_033316] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 52.1558, RMSE: 110.9547, PCC: 0.9211, R2: 0.7390
[20260127_034535] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 47.7168, RMSE: 105.1109, PCC: 0.9098, R2: 0.7658
[20260127_035417] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 48.1488, RMSE: 106.5894, PCC: 0.9136, R2: 0.7591
[20260127_040246] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 48.3422, RMSE: 105.9653, PCC: 0.9149, R2: 0.7619
[20260127_041149] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 1000 | MAE: 47.1583, RMSE: 104.3944, PCC: 0.9100, R2: 0.7689
[20260127_042254] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 82.6166, RMSE: 167.1023, PCC: 0.7556, R2: 0.4080
[20260127_043044] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 30 | MAE: 81.3765, RMSE: 160.6492, PCC: 0.7321, R2: 0.4528
[20260127_044006] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 45 | MAE: 80.9022, RMSE: 163.3411, PCC: 0.7489, R2: 0.4343
[20260127_044754] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 123 | MAE: 79.5958, RMSE: 161.4918, PCC: 0.7493, R2: 0.4471
[20260127_045807] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 1000 | MAE: 81.6255, RMSE: 161.0424, PCC: 0.7362, R2: 0.4502
[20260127_050644] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 104.5360, RMSE: 196.6410, PCC: 0.5480, R2: 0.1802
[20260127_051215] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 30 | MAE: 103.7146, RMSE: 197.2976, PCC: 0.5532, R2: 0.1747
[20260127_052032] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 45 | MAE: 106.0811, RMSE: 199.8788, PCC: 0.5393, R2: 0.1530
[20260127_052937] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 123 | MAE: 104.8241, RMSE: 194.9076, PCC: 0.5463, R2: 0.1946
[20260127_053744] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 1000 | MAE: 108.1791, RMSE: 197.0743, PCC: 0.4894, R2: 0.1766
[20260127_061644] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 52.1558, RMSE: 110.9547, PCC: 0.9211, R2: 0.7390
[20260127_062751] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 82.6166, RMSE: 167.1023, PCC: 0.7556, R2: 0.4080
[20260127_063631] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 104.5360, RMSE: 196.6410, PCC: 0.5480, R2: 0.1802
[20260127_064217] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: no_agam, Seed: 5 | MAE: 47.4149, RMSE: 104.0587, PCC: 0.9118, R2: 0.7704
[20260127_064645] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: no_agam, Seed: 5 | MAE: 79.5731, RMSE: 160.3385, PCC: 0.7542, R2: 0.4550
[20260127_065031] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: no_agam, Seed: 5 | MAE: 104.4883, RMSE: 200.6787, PCC: 0.6018, R2: 0.1462
[20260127_065539] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: no_mtfm, Seed: 5 | MAE: 47.5688, RMSE: 104.8421, PCC: 0.9063, R2: 0.7670
[20260127_070230] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: no_mtfm, Seed: 5 | MAE: 84.5102, RMSE: 171.0449, PCC: 0.7598, R2: 0.3797
[20260127_070656] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: no_mtfm, Seed: 5 | MAE: 101.9079, RMSE: 196.1624, PCC: 0.5804, R2: 0.1842
[20260127_071256] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: no_pprm, Seed: 5 | MAE: 80.8600, RMSE: 176.7160, PCC: 0.7519, R2: 0.3379
[20260127_072017] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: no_pprm, Seed: 5 | MAE: 100.8810, RMSE: 201.6940, PCC: 0.6611, R2: 0.1375
[20260127_072645] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 14, Ablation: no_pprm, Seed: 5 | MAE: 110.4718, RMSE: 206.2742, PCC: 0.4956, R2: 0.0979
[20260202_211221] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 38.1815, RMSE: 93.2246, PCC: 0.9047, R2: 0.8157
[20260202_212135] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 10 | MAE: 41.4321, RMSE: 98.8698, PCC: 0.8929, R2: 0.7928
[20260202_213345] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 20 | MAE: 37.4885, RMSE: 92.5318, PCC: 0.9060, R2: 0.8185
[20260202_220843] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 38.0900, RMSE: 92.8629, PCC: 0.9062, R2: 0.8172
[20260202_224330] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 42 | MAE: 38.5359, RMSE: 93.7285, PCC: 0.9034, R2: 0.8137
[20260202_232656] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 38.4337, RMSE: 93.4036, PCC: 0.9041, R2: 0.8150
[20260202_235653] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 100 | MAE: 39.7087, RMSE: 95.5860, PCC: 0.9016, R2: 0.8063
[20260203_000854] MSTAGAT-Net | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 36.3123, RMSE: 90.8751, PCC: 0.9096, R2: 0.8249
[20260204_141856] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 1 | MAE: 39.7039, RMSE: 95.8790, PCC: 0.9024, R2: 0.8051
[20260204_141924] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 1 | MAE: 39.7039, RMSE: 95.8790, PCC: 0.9024, R2: 0.8051
[20260204_142041] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 2 | MAE: 47.7662, RMSE: 109.1267, PCC: 0.8810, R2: 0.7475
[20260204_142108] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 2 | MAE: 47.7662, RMSE: 109.1267, PCC: 0.8810, R2: 0.7475
[20260204_142902] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 3 | MAE: 41.3207, RMSE: 99.6162, PCC: 0.8985, R2: 0.7896
[20260204_142931] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 3 | MAE: 41.3207, RMSE: 99.6162, PCC: 0.8985, R2: 0.7896
[20260204_143042] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 4 | MAE: 40.9159, RMSE: 96.8091, PCC: 0.9092, R2: 0.8013
[20260204_143111] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 4 | MAE: 40.9159, RMSE: 96.8091, PCC: 0.9092, R2: 0.8013
[20260204_144314] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 39.3342, RMSE: 96.8859, PCC: 0.9007, R2: 0.8010
[20260204_144411] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 39.3342, RMSE: 96.8859, PCC: 0.9007, R2: 0.8010
[20260204_144701] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 1 | MAE: 40.7309, RMSE: 97.6211, PCC: 0.8962, R2: 0.7980
[20260204_144901] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 1 | MAE: 40.7309, RMSE: 97.6211, PCC: 0.8962, R2: 0.7980
[20260204_144944] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 6 | MAE: 44.3256, RMSE: 102.2036, PCC: 0.9021, R2: 0.7785
[20260204_145039] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 6 | MAE: 44.3256, RMSE: 102.2036, PCC: 0.9021, R2: 0.7785
[20260204_145351] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 7 | MAE: 56.3451, RMSE: 135.0779, PCC: 0.8373, R2: 0.6132
[20260204_145449] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 7 | MAE: 56.3451, RMSE: 135.0779, PCC: 0.8373, R2: 0.6132
[20260204_145616] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 2 | MAE: 37.9194, RMSE: 93.5899, PCC: 0.9036, R2: 0.8143
[20260204_145815] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 2 | MAE: 37.9194, RMSE: 93.5899, PCC: 0.9036, R2: 0.8143
[20260204_150730] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 3 | MAE: 39.5340, RMSE: 94.9583, PCC: 0.9009, R2: 0.8088
[20260204_150932] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 3 | MAE: 39.5340, RMSE: 94.9583, PCC: 0.9009, R2: 0.8088
[20260204_151530] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 4 | MAE: 41.9609, RMSE: 101.0771, PCC: 0.8888, R2: 0.7834
[20260204_151636] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 8 | MAE: 39.7465, RMSE: 95.8846, PCC: 0.9058, R2: 0.8051
[20260204_151729] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 8 | MAE: 39.7465, RMSE: 95.8846, PCC: 0.9058, R2: 0.8051
[20260204_151734] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 4 | MAE: 41.9609, RMSE: 101.0771, PCC: 0.8888, R2: 0.7834
[20260204_152211] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 9 | MAE: 45.1807, RMSE: 105.4778, PCC: 0.8977, R2: 0.7641
[20260204_152301] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 9 | MAE: 45.1807, RMSE: 105.4778, PCC: 0.8977, R2: 0.7641
[20260204_152829] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 39.4059, RMSE: 95.5795, PCC: 0.9008, R2: 0.8063
[20260204_153036] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 39.4059, RMSE: 95.5795, PCC: 0.9008, R2: 0.8063
[20260204_153635] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 10 | MAE: 40.4508, RMSE: 96.7832, PCC: 0.8996, R2: 0.8014
[20260204_153726] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 10 | MAE: 40.4508, RMSE: 96.7832, PCC: 0.8996, R2: 0.8014
[20260204_154127] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 6 | MAE: 39.5592, RMSE: 95.2252, PCC: 0.9020, R2: 0.8078
[20260204_154204] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 1 | MAE: 70.9948, RMSE: 149.4635, PCC: 0.7689, R2: 0.5264
[20260204_154256] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 1 | MAE: 70.9948, RMSE: 149.4635, PCC: 0.7689, R2: 0.5264
[20260204_154330] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 6 | MAE: 39.5592, RMSE: 95.2252, PCC: 0.9020, R2: 0.8078
[20260204_154851] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 2 | MAE: 77.4744, RMSE: 161.9746, PCC: 0.7544, R2: 0.4438
[20260204_154856] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 7 | MAE: 39.8874, RMSE: 96.2853, PCC: 0.8995, R2: 0.8034
[20260204_154946] EpiSIG-Net-V5 | Dataset: ltla_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 2 | MAE: 77.4744, RMSE: 161.9746, PCC: 0.7544, R2: 0.4438
[20260204_155055] EpiSIG-Net-V3 | Dataset: ltla_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 7 | MAE: 39.8874, RMSE: 96.2853, PCC: 0.8995, R2: 0.8034
