model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,sim_mat
EpiSIG-Net-V3,nhs_timeseries,20,3,no_agam,1,True,20260204_221236,3.0197787284851074,0.9139358997344972,3.823014939766165,3.673442840576172,0.9967562556266784,0.9926037788391112,1.1708078062611094e-08,0.9910050630569458,0.9801987409591676,0.9930904507637024,0.9849351048469543,2.543322801589966,default
MSAGAT-Net,nhs_timeseries,20,3,no_agam,5,True,20260410_160247,2.21855902671814,0.7455825209617615,2.936721049168593,2.7885658740997314,0.992457926273346,0.9665125608444214,,0.9843754172325134,0.927335560321808,0.9847715497016908,0.929780125617981,0.0,default
MSAGAT-Net,nhs_timeseries,20,3,no_agam,42,True,20260410_202653,2.185041666030884,0.96680748462677,2.981713351343908,2.758330821990967,0.9929555654525756,0.971765398979187,,0.9838930368423462,0.9301061630249025,0.9856382608413696,0.9401959180831908,0.0,default
MSAGAT-Net.loggrowth.quant,nhs_timeseries,20,3,no_agam,42,True,20260819_015913,2.5702600169448213,0.9816465376920612,3.548331770142584,3.323690127890378,0.9913150781944104,0.9637298358201756,,0.9771896965473548,0.8984611985599164,0.979813473132151,0.9119493261268738,0.0,default
EpiSIG-Net-V3,nhs_timeseries,20,3,no_mtfm,1,True,20260204_221951,3.0197787284851074,0.9139358997344972,3.823014939766165,3.673442840576172,0.9967562556266784,0.9926037788391112,1.1708078062611094e-08,0.9910050630569458,0.9801987409591676,0.9930904507637024,0.9849351048469543,2.543322801589966,default
MSAGAT-Net,nhs_timeseries,20,3,no_mtfm,5,True,20260410_160411,3.0463972091674805,1.058355689048767,3.910939445906615,3.720982313156128,0.9863533973693848,0.9369066953659058,,0.9722894430160522,0.8700798749923706,0.9728360176086426,0.8755964040756226,0.0,default
MSAGAT-Net,nhs_timeseries,20,3,no_mtfm,42,True,20260410_202841,6.247481822967529,2.719290971755981,7.709783001924735,7.104879856109619,0.977777361869812,0.951426088809967,,0.8923120498657227,0.488147109746933,0.953853726387024,0.8577135801315308,0.0,default
EpiSIG-Net-V3,nhs_timeseries,20,3,no_pprm,1,True,20260204_222630,3.0197787284851074,0.9139358997344972,3.823014939766165,3.673442840576172,0.9967562556266784,0.9926037788391112,1.1708078062611094e-08,0.9910050630569458,0.9801987409591676,0.9930904507637024,0.9849351048469543,2.543322801589966,default
MSAGAT-Net,nhs_timeseries,20,3,no_pprm,5,True,20260410_160519,4.239785194396973,1.4674783945083618,5.374850958598614,5.101466655731201,0.984063446521759,0.9291728138923644,,0.9476621747016908,0.7524499893188477,0.96659916639328,0.8573814034461975,0.0,default
MSAGAT-Net,nhs_timeseries,20,3,no_pprm,42,True,20260410_203038,2.9160640239715576,1.010029435157776,3.7894073014830703,3.605553388595581,0.9869388341903688,0.9382952451705932,,0.9739848971366882,0.8779290318489075,0.9739973545074464,0.8794776201248169,0.0,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,1,True,20260204_215954,3.0197787284851074,0.9139358997344972,3.823014939766165,3.673442840576172,0.9967562556266784,0.9926037788391112,1.1708078062611094e-08,0.9910050630569458,0.9801987409591676,0.9930904507637024,0.9849351048469543,2.543322801589966,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,2,True,20260204_130600,6.510776042938232,3.155167818069458,7.974491459528058,7.273567676544189,0.9940218329429626,0.9901881814002992,2.4361909822800963e-08,0.9608625173568726,0.9299100041389464,0.9849010109901428,0.9802845120429992,3.0336923599243164,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,3,True,20260204_130802,2.7983410358428955,0.9200493097305298,3.828881885674433,3.65352201461792,0.996715247631073,0.99280446767807,9.296462266661363e-09,0.99097740650177,0.9803115725517272,0.991733193397522,0.9820476770401,2.6913533210754395,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,4,True,20260204_131006,2.754011869430542,0.972832202911377,3.84049999260204,3.6157009601593018,0.9965385794639589,0.9925791025161744,9.070626916241054e-09,0.9909225702285768,0.9810146689414978,0.991335391998291,0.9819297790527344,2.745253086090088,default
MSAGAT-Net,nhs_timeseries,20,3,none,5,True,20260410_160043,3.9314239025115967,1.4184657335281372,4.893299480567131,4.621365547180176,0.9857137203216552,0.9502983689308168,,0.9566203355789183,0.7884253263473511,0.97159606218338,0.8865591883659363,0.0,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,6,True,20260204_131621,2.5507848262786865,0.7603997588157654,3.3725602550510785,3.2452545166015625,0.9966411590576172,0.9928721785545348,9.419670377042166e-09,0.9929998517036438,0.9842377305030824,0.99308580160141,0.9847274422645568,2.353988647460937,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,7,True,20260204_131850,5.376235961914063,2.803135633468628,6.714361984608185,6.040708065032959,0.9950410723686218,0.9931870698928832,2.010819422082477e-08,0.9722542762756348,0.952472984790802,0.988635003566742,0.9861547350883484,2.2254462242126465,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,8,True,20260204_132105,3.9238436222076416,1.4536453485488892,5.03852876897232,4.7463483810424805,0.9962500333786012,0.9919213056564332,1.4768306577650492e-08,0.9843758940696716,0.9687662124633788,0.9909636378288268,0.9830096960067748,2.538691759109497,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,9,True,20260204_132230,2.772970676422119,0.7575504779815674,3.615262864555493,3.5039966106414795,0.9963237047195436,0.9918864965438844,9.955387625382173e-09,0.991956114768982,0.9813204407691956,0.9924150109291076,0.98269522190094,2.8043406009674072,default
EpiSIG-Net-V3,nhs_timeseries,20,3,none,10,True,20260204_132531,2.576209783554077,0.696997344493866,3.387152656117632,3.276875257492065,0.9966896176338196,0.9923495054244996,9.347854046382054e-09,0.9929391741752625,0.9835904240608216,0.993171453475952,0.984218955039978,2.2166640758514404,default
MSTAGAT-Net,nhs_timeseries,20,3,none,30,True,20260127_031827,8.444059371948242,4.049469470977783,10.36463171150508,9.438681602478027,0.9870453476905824,0.9889917373657228,3.7469607860884935e-08,0.9338858127593994,0.8819044828414917,0.9740507006645204,0.9685797691345216,4.209630489349365,default
MSAGAT-Net.pprm-multistep,nhs_timeseries,20,3,none,30,True,20260811_024956,3.56085467338562,1.384392023086548,4.473108686860056,4.182522296905518,0.9898477792739868,0.9617146849632264,,0.9637505412101746,0.8306059241294861,0.9790391325950624,0.9199593663215636,0.0,default
MSAGAT-Net.sgate,nhs_timeseries,20,3,none,30,True,20260811_031455,3.781795978546143,1.5862363576889038,4.743576726148778,4.392000675201416,0.9898570775985718,0.9641400575637816,,0.959234356880188,0.8132972717285156,0.9784483313560486,0.9246441125869752,0.0,default
MSAGAT-Net.pprm-multistep.sgate,nhs_timeseries,20,3,none,30,True,20260811_033615,3.134761333465576,1.070980429649353,3.92546506908493,3.731488943099976,0.9893039464950562,0.9592555165290833,,0.9720832705497742,0.8623839020729065,0.978616178035736,0.9092988967895508,0.0,default
MSAGAT-Net.loggrowth,nhs_timeseries,20,3,none,30,True,20260811_044936,1.881041169166565,0.6335049867630005,2.5249150441296084,2.370319366455078,0.9954166412353516,0.9808115363121032,,0.9884501695632936,0.9482330679893494,0.9899742007255554,0.956196129322052,0.0,default
MSAGAT-Net,nhs_timeseries,20,3,none,30,True,20260811_091218,3.469181776046753,1.4315390586853027,4.387233089142494,4.0655198097229,0.9914028644561768,0.9645113348960876,,0.965129017829895,0.8439505696296692,0.980786681175232,0.9297283291816713,0.0,default
MSAGAT-Net.loggrowth.quant,nhs_timeseries,20,3,none,30,True,20260814_032443,1.627419283793435,0.6693535853535914,2.274436470809048,2.0939618894164367,0.9957506064307886,0.9838183784965492,,0.9906280439176134,0.9600906440481758,0.990917137490002,0.9616488099911434,0.0,default
MSAGAT-Net.loggrowth.quant.attnfix,nhs_timeseries,20,3,none,30,True,20260819_012820,2.3016135232598898,0.8808556053766032,3.1835826850081523,2.958138497756978,0.9918649335156036,0.9664216336788,,0.9816382152755634,0.9199141223042818,0.9827259901534098,0.9255707189655888,0.0,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,nhs_timeseries,20,3,none,30,True,20260819_075553,2.301881481577469,0.8933974925439663,3.185999199171188,2.957341681081271,0.9924025985575032,0.9684899584527435,,0.9816103294893628,0.9199552620806484,0.9832886966700763,0.928404097570026,0.0,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre-reniter.renewal7,nhs_timeseries,20,3,none,30,True,20260820_141329,1.6779824359742337,0.6061814912828437,2.344399870823909,2.182108238104574,0.9955565400128326,0.983222734677338,,0.9900425989133664,0.9559625388226076,0.990571000562986,0.9594614356005392,0.0,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre-reniter-giunif.renewal7,nhs_timeseries,20,3,none,30,True,20260820_142651,1.5737412779310276,0.6297113663532253,2.1687952699101403,2.014603981915189,0.9957544777256204,0.981981251649538,,0.9914784275992876,0.9624546671781828,0.9914789997888404,0.962659387301154,0.0,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre-reniter.renewal7.gifix5.2-1.72,nhs_timeseries,20,3,none,30,True,20260820_143719,1.6715645822923086,0.6088441674549196,2.304249504461908,2.1482580320178326,0.9952720461725582,0.9802897982082996,,0.9903807407650884,0.9570140324265566,0.9903964604667076,0.957698607359774,0.0,default
MSAGAT-Net.pprm-multistep.sgate,nhs_timeseries,20,3,none,42,True,20260810_221904,3.41239857673645,1.21945321559906,4.301585220182687,4.067539215087891,0.988021731376648,0.9547286033630372,,0.9664772748947144,0.8363236784934998,0.9761674404144288,0.8995456099510193,0.0,default
MSAGAT-Net.pprm-multistep,nhs_timeseries,20,3,none,42,True,20260811_024835,3.163950204849243,1.1047759056091309,3.982058940250067,3.778608560562134,0.989385724067688,0.9568740725517272,,0.9712724685668944,0.8595554232597351,0.9788277745246888,0.9085922837257384,0.0,default
