dataset,horizon,seed,rmse_lead_h,rmse_pooled,n_lead_h,n_pooled,arm
ltla_timeseries,3,42,49.78200149536133,57.9758505939893,168,166,v1
ltla_timeseries,3,30,49.907066345214844,58.83268760316981,168,166,v1
ltla_timeseries,3,45,47.96764373779297,56.06593527727668,168,166,v1
ltla_timeseries,3,123,51.79758071899414,60.29794553577663,168,166,v1
ltla_timeseries,3,1000,49.77266311645508,58.60782384705525,168,166,v1
ltla_timeseries,3,42,50.41966813687402,55.71513895223238,168,166,v2
ltla_timeseries,3,30,52.22665399084958,57.70034496939319,168,166,v2
ltla_timeseries,3,45,51.44514949290977,57.3705841039138,168,166,v2
ltla_timeseries,3,123,49.33796677140066,54.6311360214549,168,166,v2
ltla_timeseries,3,1000,49.19031839274511,55.72942247089128,168,166,v2
ltla_timeseries,7,42,83.02421569824219,96.58150525632539,168,162,v1
ltla_timeseries,7,30,85.2966079711914,95.77071746204075,168,162,v1
ltla_timeseries,7,45,95.65243530273438,103.08988442618895,168,162,v1
ltla_timeseries,7,123,81.62889099121094,95.83296064856316,168,162,v1
ltla_timeseries,7,1000,84.29222869873047,95.62198850772596,168,162,v1
ltla_timeseries,7,42,86.20581093189759,94.53116359668691,168,162,v2
ltla_timeseries,7,30,88.2537436543033,95.53328704567416,168,162,v2
ltla_timeseries,7,45,87.76049005102414,95.8414563263097,168,162,v2
ltla_timeseries,7,123,77.95711524910028,90.97647080946798,168,162,v2
ltla_timeseries,7,1000,82.25802894881667,95.93826931554452,168,162,v2
ltla_timeseries,14,42,115.5720443725586,129.42047759692394,168,155,v1
ltla_timeseries,14,30,118.81578826904297,131.75992389715682,168,155,v1
ltla_timeseries,14,45,116.39669036865234,129.287306273162,168,155,v1
ltla_timeseries,14,123,118.02873229980469,130.71765789494484,168,155,v1
ltla_timeseries,14,1000,115.88427734375,128.73640388324102,168,155,v1
ltla_timeseries,14,42,117.00988453701113,129.0407182361308,168,155,v2
ltla_timeseries,14,30,147.72061468325657,173.9212843729966,168,155,v2
ltla_timeseries,14,45,122.7692609085299,139.43674365012473,168,155,v2
ltla_timeseries,14,123,124.0033932198171,140.54276447642832,168,155,v2
ltla_timeseries,14,1000,132.3920148062949,150.80180892910522,168,155,v2
nhs_timeseries,3,42,3.451531171798706,4.174349705396325,179,177,v1
nhs_timeseries,3,30,4.387233257293701,5.0460917815025805,179,177,v1
nhs_timeseries,3,45,3.5313777923583984,4.324892401990368,179,177,v1
nhs_timeseries,3,123,4.345502853393555,4.990436533635339,179,177,v1
nhs_timeseries,3,1000,3.5220718383789062,4.268098424310952,179,177,v1
nhs_timeseries,3,42,2.2215959104135607,2.998559366447548,179,177,v2
nhs_timeseries,3,30,2.274436470809048,3.0771689849309527,179,177,v2
nhs_timeseries,3,45,2.1784116530384634,3.0556029735965184,179,177,v2
nhs_timeseries,3,123,3.760237300318711,4.373017394559968,179,177,v2
nhs_timeseries,3,1000,2.159357770294808,2.98096282505263,179,177,v2
nhs_timeseries,7,42,6.314915180206299,7.739312515476879,179,173,v1
nhs_timeseries,7,30,5.835280418395996,7.361970865940148,179,173,v1
nhs_timeseries,7,45,7.291241645812988,8.360852737131852,179,173,v1
nhs_timeseries,7,123,6.038751602172852,7.59850572383207,179,173,v1
nhs_timeseries,7,1000,10.126916885375977,11.173007001747292,179,173,v1
nhs_timeseries,7,42,5.298948522104672,6.607790774075711,179,173,v2
nhs_timeseries,7,30,11.385811183995223,12.62884619366252,179,173,v2
nhs_timeseries,7,45,6.945017152177673,7.699726390203766,179,173,v2
nhs_timeseries,7,123,5.878941546826735,7.08304184243736,179,173,v2
nhs_timeseries,7,1000,8.272380900658405,9.228978491746672,179,173,v2
nhs_timeseries,14,42,13.92988395690918,16.834808059106596,179,166,v1
nhs_timeseries,14,30,10.523733139038086,12.719832935671421,179,166,v1
nhs_timeseries,14,45,11.230616569519043,12.46232050027316,179,166,v1
nhs_timeseries,14,123,12.300761222839355,13.739582459372317,179,166,v1
nhs_timeseries,14,1000,10.009749412536621,12.156653805664492,179,166,v1
nhs_timeseries,14,42,10.719046167735229,13.434551341874169,179,166,v2
nhs_timeseries,14,30,20.93057068582755,23.40397246798577,179,166,v2
nhs_timeseries,14,45,15.532974311921949,17.924553146328194,179,166,v2
nhs_timeseries,14,123,11.529845133423876,13.199699212039935,179,166,v2
nhs_timeseries,14,1000,12.775766142075264,14.828246719226001,179,166,v2
