model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
EpiSIG-Net-V3,region785,20,3,no_agam,1,True,20260205_001123,355.6871337890625,232.0902862548828,685.4504677582473,566.6834716796875,0.8802852630615234,0.8230767250061035,4.78667594450144e-08,0.768653154373169,0.6385073661804199,0.7733050584793091,0.6537412405014038,494.6909484863281
MSTAGAT-Net,region785,20,3,no_agam,5,True,20260127_054452,306.53668212890625,198.6536865234375,621.4736016115246,517.81640625,0.9206091165542604,0.8597558736801147,3.5921864594001824e-08,0.8098235130310059,0.6883627772331238,0.8244023323059082,0.7256697416305542,435.3428039550781
EpiSIG-Net-V3,region785,20,3,no_mtfm,1,True,20260205_001306,355.6871337890625,232.0902862548828,685.4504677582473,566.6834716796875,0.8802852630615234,0.8230767250061035,4.78667594450144e-08,0.768653154373169,0.6385073661804199,0.7733050584793091,0.6537412405014038,494.6909484863281
MSTAGAT-Net,region785,20,3,no_mtfm,5,True,20260127_054548,377.8338012695313,202.7562561035156,681.3087360000604,586.9222412109375,0.8879655599594116,0.7967868447303772,8.216607483291227e-08,0.7714404463768005,0.523054301738739,0.7751477956771851,0.6061664819717407,494.66748046875
EpiSIG-Net-V3,region785,20,3,no_pprm,1,True,20260205_001450,355.6871337890625,232.0902862548828,685.4504677582473,566.6834716796875,0.8802852630615234,0.8230767250061035,4.78667594450144e-08,0.768653154373169,0.6385073661804199,0.7733050584793091,0.6537412405014038,494.6909484863281
MSTAGAT-Net,region785,20,3,no_pprm,5,True,20260127_054707,432.5743713378906,303.95654296875,757.3306741443924,623.321044921875,0.8563811182975769,0.8258858919143677,6.06465562213998e-08,0.7175884246826172,0.5561165809631348,0.7328007221221924,0.6299524307250977,586.7086791992188
EpiSIG-Net-V3,region785,20,3,none,1,True,20260205_000939,355.6871337890625,232.0902862548828,685.4504677582473,566.6834716796875,0.8802852630615234,0.8230767250061035,4.78667594450144e-08,0.768653154373169,0.6385073661804199,0.7733050584793091,0.6537412405014038,494.6909484863281
EpiSIG-Net-V3,region785,20,3,none,2,True,20260204_193237,360.856689453125,237.7544708251953,675.7272239964881,556.117431640625,0.8813667893409729,0.8204377293586731,4.869701797360904e-08,0.7751699686050415,0.6533347964286804,0.7764968276023865,0.6664568185806274,481.5929870605469
EpiSIG-Net-V3,region785,20,3,none,3,True,20260204_193326,324.18389892578125,198.50262451171875,652.5647956333531,542.2652587890625,0.8904085159301758,0.8201648592948914,4.255972285704957e-08,0.7903192043304443,0.6492012739181519,0.7910088300704956,0.6589376330375671,449.4413146972656
EpiSIG-Net-V3,region785,20,3,none,4,True,20260204_193414,348.56890869140625,213.1712341308593,684.0792397449289,567.0965576171875,0.883600115776062,0.8239967226982117,5.848245621109528e-08,0.7695778012275696,0.6241609454154968,0.7714153528213501,0.6602014303207397,480.8230285644531
EpiSIG-Net-V3,region785,20,3,none,5,True,20260204_193533,395.39300537109375,247.66001892089844,762.4263898895421,637.001953125,0.8452767133712769,0.7717970609664917,5.565542693375392e-08,0.7137751579284668,0.524832546710968,0.7138497829437256,0.5541628003120422,546.7372436523438
EpiSIG-Net-V3,region785,20,3,none,6,True,20260204_193620,337.30859375,209.48025512695312,647.4541730887214,538.398681640625,0.8911948204040527,0.8230066299438477,4.19673717999558e-08,0.7935905456542969,0.6515472531318665,0.7936021089553833,0.6572942733764648,460.6953430175781
EpiSIG-Net-V3,region785,20,3,none,7,True,20260204_193709,345.2775573730469,232.8946075439453,675.8648394834577,554.57080078125,0.8953094482421875,0.8431108593940735,3.665212844339295e-08,0.7750784158706665,0.66545170545578,0.7931275367736816,0.703481137752533,489.74853515625
EpiSIG-Net-V3,region785,20,3,none,8,True,20260204_193752,405.4350891113281,275.9912109375,784.2568934985526,639.3170166015625,0.8397104740142822,0.7794541120529175,5.1262855293998655e-08,0.6971496343612671,0.5677300691604614,0.7044564485549927,0.5878401398658752,561.2423095703125
EpiSIG-Net-V3,region785,20,3,none,9,True,20260204_193833,332.1773986816406,206.6416778564453,680.2420754775465,562.543212890625,0.8963857889175415,0.8279986381530762,4.9322945727681144e-08,0.7721555829048157,0.6353453993797302,0.7845010161399841,0.6626600027084351,465.8227844238281
EpiSIG-Net-V3,region785,20,3,none,10,True,20260204_193927,368.6094970703125,230.3674468994141,682.8466839269266,568.4796142578125,0.8785846829414368,0.7997238039970398,4.615071347302546e-08,0.7704074382781982,0.6194408535957336,0.7706503868103027,0.6258611083030701,501.4874877929688
MSTAGAT-Net,region785,20,3,none,30,True,20260127_024914,343.69195556640625,236.58282470703125,677.0035773539162,559.134765625,0.9042677879333496,0.8565167188644409,4.296001776538105e-08,0.7743198871612549,0.642789363861084,0.7942231893539429,0.7181625366210938,481.6943359375
MSTAGAT-Net,region785,20,3,none,42,True,20260209_092915,332.1254577636719,209.9164123535156,658.7960847257671,543.2647094726562,0.9069495797157288,0.8536243438720703,4.4358944961686575e-08,0.8195176720619202,0.6876339912414551,0.820953905582428,0.7066254615783691,462.1746826171875
MSTAGAT-Net,region785,20,3,none,45,True,20260127_024932,319.5349426269531,206.6975860595703,643.9941527296658,536.9458618164062,0.9099711179733276,0.8599541783332825,3.1072367789874995e-08,0.7957907915115356,0.6613423824310303,0.812253475189209,0.7121346592903137,456.0894775390625
MSTAGAT-Net,region785,20,3,none,123,True,20260127_024956,342.77117919921875,208.0467834472656,664.28902312924,556.1204223632812,0.8987016677856445,0.8427717089653015,6.274816399809424e-08,0.7827171087265015,0.622719407081604,0.7878939509391785,0.690843403339386,453.8280334472656
MSTAGAT-Net,region785,20,3,none,1000,True,20260127_025012,316.3199768066406,209.24856567382807,664.3748941674422,545.383056640625,0.9028380513191224,0.848443865776062,3.571485152065179e-08,0.7826609015464783,0.6695089340209961,0.79329913854599,0.7057726979255676,443.88616943359375
EpiSIG-Net-V3,region785,20,5,none,1,True,20260204_194013,474.5859069824219,303.0768127441406,917.9809025791332,753.4089965820312,0.8025445938110352,0.7013279795646667,7.753907738106136e-08,0.5850663185119629,0.3673699498176574,0.605043888092041,0.4415051937103271,635.8320922851562
EpiSIG-Net-V3,region785,20,5,none,2,True,20260204_194102,492.7970275878906,312.6408996582031,928.2910373368904,766.7655029296875,0.7829550504684448,0.6616584658622742,7.489148856620886e-08,0.5756934285163879,0.3466359674930572,0.5894323587417603,0.4097619652748108,651.2708129882812
EpiSIG-Net-V3,region785,20,5,none,3,True,20260204_194148,466.80517578125,288.97125244140625,860.9157914685966,714.1342163085938,0.8028753995895386,0.7278037071228027,7.439859217583944e-08,0.6350505352020264,0.4218523502349853,0.6356629729270935,0.4863624572753906,608.9059448242188
EpiSIG-Net-V3,region785,20,5,none,4,True,20260204_194313,538.5535888671875,368.19866943359375,954.9563471698588,786.818115234375,0.7445837259292603,0.6193227171897888,6.950648412384909e-08,0.550966739654541,0.3301827311515808,0.5520690679550171,0.3631663918495178,686.5389404296875
EpiSIG-Net-V3,region785,20,5,none,5,True,20260204_194416,455.983642578125,296.9451904296875,905.5780612404432,740.4659423828125,0.7970604300498962,0.7140915393829346,6.104345118274068e-08,0.5962028503417969,0.3930486738681793,0.6097923517227173,0.4644955694675445,624.3617553710938
EpiSIG-Net-V3,region785,20,5,none,6,True,20260204_194503,543.1551513671875,359.6842346191406,917.8692376912956,764.3465576171875,0.7758684158325195,0.6327694058418274,6.820924625117186e-08,0.5851671695709229,0.3276051878929138,0.5896707773208618,0.3583658039569855,720.1845092773438
EpiSIG-Net-V3,region785,20,5,none,7,True,20260204_194549,420.4498291015625,270.3678283691406,825.8990934127486,682.4424438476562,0.8386079668998718,0.7498491406440735,5.500047706163969e-08,0.6641345024108887,0.4682778716087341,0.6862198114395142,0.5281575918197632,590.9361572265625
EpiSIG-Net-V3,region785,20,5,none,8,True,20260204_194638,489.2808227539063,302.7764892578125,860.8711793874853,721.551513671875,0.7987731695175171,0.6814826130867004,5.3780162545535866e-08,0.635088324546814,0.3694818317890167,0.6350917816162109,0.3922293782234192,653.1732788085938
EpiSIG-Net-V3,region785,20,5,none,9,True,20260204_194735,580.7347412109375,395.8044738769531,1036.4362619090475,849.4853515625,0.6915902495384216,0.561318039894104,7.147427538711781e-08,0.4710718989372253,0.2402518689632415,0.472316563129425,0.2847093045711517,773.0526733398438
EpiSIG-Net-V3,region785,20,5,none,10,True,20260204_194823,452.362548828125,286.8580627441406,831.6080431910216,693.3634033203125,0.8141282200813293,0.6873775124549866,4.824529042934955e-08,0.6594751477241516,0.4254077970981598,0.6625641584396362,0.4380202889442444,608.9107055664062
MSTAGAT-Net,region785,20,5,none,30,True,20260127_025052,462.3392333984375,320.8806457519531,874.6974834192677,719.6531982421875,0.8502293825149536,0.7729209065437317,4.430643230080023e-08,0.6232725977897644,0.4387555122375488,0.6842589378356934,0.573337197303772,657.8273315429688
MSTAGAT-Net,region785,20,5,none,42,True,20260209_093035,463.45904541015625,280.0589599609375,901.9652501621111,744.9675903320312,0.8164318203926086,0.7198579907417297,6.36177688306816e-08,0.6616920232772827,0.4240353107452392,0.6662367582321167,0.4838464856147766,643.5574340820312
MSTAGAT-Net,region785,20,5,none,45,True,20260127_025108,457.4485168457031,294.6991271972656,781.9108005392942,661.4329223632812,0.8596844673156738,0.7808307409286499,5.2984791665267046e-08,0.6989588737487793,0.4486762881278991,0.732575535774231,0.5574134588241577,634.2507934570312
