# MSTAGAT-Net Experiment Results
# Format: [Timestamp] Model | Dataset, Window, Horizon, Ablation, Seed | Metrics
# ================================================================================
[20260127_024856] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 351.1326, RMSE: 655.9202, PCC: 0.8895, R2: 0.7882
[20260127_024914] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 343.6920, RMSE: 677.0036, PCC: 0.9043, R2: 0.7743
[20260127_024932] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 319.5349, RMSE: 643.9942, PCC: 0.9100, R2: 0.7958
[20260127_024956] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 342.7712, RMSE: 664.2890, PCC: 0.8987, R2: 0.7827
[20260127_025012] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 1000 | MAE: 316.3200, RMSE: 664.3749, PCC: 0.9028, R2: 0.7827
[20260127_025035] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 5 | MAE: 473.5164, RMSE: 882.2603, PCC: 0.8087, R2: 0.6167
[20260127_025052] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 30 | MAE: 462.3392, RMSE: 874.6975, PCC: 0.8502, R2: 0.6233
[20260127_025108] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 45 | MAE: 457.4485, RMSE: 781.9108, PCC: 0.8597, R2: 0.6990
[20260127_025127] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 123 | MAE: 502.8173, RMSE: 894.2645, PCC: 0.7845, R2: 0.6062
[20260127_025152] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 1000 | MAE: 493.1869, RMSE: 888.9726, PCC: 0.7869, R2: 0.6109
[20260127_025211] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seed: 5 | MAE: 622.4166, RMSE: 1089.9113, PCC: 0.7020, R2: 0.4151
[20260127_025232] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seed: 30 | MAE: 665.6773, RMSE: 1190.4016, PCC: 0.6719, R2: 0.3023
[20260127_025304] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seed: 45 | MAE: 588.5228, RMSE: 1003.2946, PCC: 0.7956, R2: 0.5044
[20260127_025335] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seed: 123 | MAE: 574.6934, RMSE: 1030.7213, PCC: 0.7437, R2: 0.4769
[20260127_025352] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seed: 1000 | MAE: 548.5868, RMSE: 990.5676, PCC: 0.7948, R2: 0.5169
[20260127_025416] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 15, Ablation: none, Seed: 5 | MAE: 669.3530, RMSE: 1242.3985, PCC: 0.7014, R2: 0.2400
[20260127_025433] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 15, Ablation: none, Seed: 30 | MAE: 675.6964, RMSE: 1230.3343, PCC: 0.6267, R2: 0.2547
[20260127_025502] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 15, Ablation: none, Seed: 45 | MAE: 755.5325, RMSE: 1346.4001, PCC: 0.5136, R2: 0.1074
[20260127_025524] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 15, Ablation: none, Seed: 123 | MAE: 616.9940, RMSE: 1099.9177, PCC: 0.7010, R2: 0.4043
[20260127_025541] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 15, Ablation: none, Seed: 1000 | MAE: 719.1997, RMSE: 1210.4498, PCC: 0.6234, R2: 0.2786
[20260127_054355] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 351.1326, RMSE: 655.9202, PCC: 0.8895, R2: 0.7882
[20260127_054416] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 524.3210, RMSE: 935.3509, PCC: 0.7956, R2: 0.5692
[20260127_054436] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 1041.8738, RMSE: 1697.0555, PCC: 0.3347, R2: -0.4181
[20260127_054452] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: no_agam, Seed: 5 | MAE: 306.5367, RMSE: 621.4736, PCC: 0.9206, R2: 0.8098
[20260127_054506] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 7, Ablation: no_agam, Seed: 5 | MAE: 516.4694, RMSE: 979.8267, PCC: 0.8224, R2: 0.5273
[20260127_054522] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 14, Ablation: no_agam, Seed: 5 | MAE: 815.0512, RMSE: 1353.3901, PCC: 0.4541, R2: 0.0981
[20260127_054548] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: no_mtfm, Seed: 5 | MAE: 377.8338, RMSE: 681.3087, PCC: 0.8880, R2: 0.7714
[20260127_054619] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 7, Ablation: no_mtfm, Seed: 5 | MAE: 643.8347, RMSE: 1081.6890, PCC: 0.6778, R2: 0.4239
[20260127_054637] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 14, Ablation: no_mtfm, Seed: 5 | MAE: 778.0573, RMSE: 1377.9704, PCC: 0.5972, R2: 0.0650
[20260127_054707] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: no_pprm, Seed: 5 | MAE: 432.5744, RMSE: 757.3307, PCC: 0.8564, R2: 0.7176
[20260127_054725] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 7, Ablation: no_pprm, Seed: 5 | MAE: 705.9594, RMSE: 1194.1920, PCC: 0.7081, R2: 0.2978
[20260127_054742] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 14, Ablation: no_pprm, Seed: 5 | MAE: 759.2360, RMSE: 1258.0685, PCC: 0.6000, R2: 0.2207

#================================================================================
# AVERAGED RESULTS (Mean ± Std across all seeds)
#================================================================================
[AVERAGE] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seeds: [5, 30, 45, 123, 1000] | MAE: 334.6901±14.0274, RMSE: 661.1164±10.8927, PCC: 0.9011±0.0068, R2: 0.7847±0.0071
[AVERAGE] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seeds: [5, 30, 45, 123, 1000] | MAE: 477.8617±17.5167, RMSE: 864.4212±41.7737, PCC: 0.8180±0.0315, R2: 0.6312±0.0344
[AVERAGE] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seeds: [5, 30, 45, 123, 1000] | MAE: 599.9794±40.5746, RMSE: 1060.9793±73.1957, PCC: 0.7416±0.0494, R2: 0.4431±0.0787
[AVERAGE] MSTAGAT-Net | Dataset: region785, Window: 20, Horizon: 15, Ablation: none, Seeds: [5, 30, 45, 123, 1000] | MAE: 687.3551±47.0594, RMSE: 1225.9001±78.6414, PCC: 0.6332±0.0688, R2: 0.2570±0.0947
[20260204_175752] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 1 | MAE: 334.9953, RMSE: 650.5518, PCC: 0.8904, R2: 0.7916
[20260204_175825] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 1 | MAE: 334.9953, RMSE: 650.5518, PCC: 0.8904, R2: 0.7916
[20260204_175913] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 2 | MAE: 389.0667, RMSE: 714.6301, PCC: 0.8676, R2: 0.7485
[20260204_175946] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 2 | MAE: 389.0667, RMSE: 714.6301, PCC: 0.8676, R2: 0.7485
[20260204_180221] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 3 | MAE: 333.6406, RMSE: 689.2170, PCC: 0.8766, R2: 0.7661
[20260204_180255] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 3 | MAE: 333.6406, RMSE: 689.2170, PCC: 0.8766, R2: 0.7661
[20260204_180347] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 4 | MAE: 367.5823, RMSE: 671.9096, PCC: 0.8819, R2: 0.7777
[20260204_180422] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 4 | MAE: 367.5823, RMSE: 671.9096, PCC: 0.8819, R2: 0.7777
[20260204_180512] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 328.3958, RMSE: 645.1067, PCC: 0.8931, R2: 0.7951
[20260204_180546] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 328.3958, RMSE: 645.1067, PCC: 0.8931, R2: 0.7951
[20260204_180639] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 6 | MAE: 313.3358, RMSE: 637.5127, PCC: 0.8987, R2: 0.7999
[20260204_180714] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 6 | MAE: 313.3358, RMSE: 637.5127, PCC: 0.8987, R2: 0.7999
[20260204_180806] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 7 | MAE: 313.6237, RMSE: 614.3017, PCC: 0.9032, R2: 0.8142
[20260204_180842] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 7 | MAE: 313.6237, RMSE: 614.3017, PCC: 0.9032, R2: 0.8142
[20260204_181116] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 8 | MAE: 377.2030, RMSE: 686.5686, PCC: 0.8785, R2: 0.7679
[20260204_181202] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 8 | MAE: 377.2030, RMSE: 686.5686, PCC: 0.8785, R2: 0.7679
[20260204_181310] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 9 | MAE: 357.8412, RMSE: 644.3903, PCC: 0.8992, R2: 0.7955
[20260204_181354] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 9 | MAE: 357.8412, RMSE: 644.3903, PCC: 0.8992, R2: 0.7955
[20260204_181525] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 10 | MAE: 339.7719, RMSE: 661.9250, PCC: 0.8882, R2: 0.7843
[20260204_181609] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 3, Ablation: none, Seed: 10 | MAE: 339.7719, RMSE: 661.9250, PCC: 0.8882, R2: 0.7843
[20260204_181728] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 1 | MAE: 536.4296, RMSE: 924.7243, PCC: 0.7689, R2: 0.5789
[20260204_181817] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 1 | MAE: 536.4296, RMSE: 924.7243, PCC: 0.7689, R2: 0.5789
[20260204_182134] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 2 | MAE: 489.3437, RMSE: 938.0816, PCC: 0.7594, R2: 0.5667
[20260204_182221] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 2 | MAE: 489.3437, RMSE: 938.0816, PCC: 0.7594, R2: 0.5667
[20260204_182339] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 3 | MAE: 519.2004, RMSE: 941.9858, PCC: 0.7535, R2: 0.5631
[20260204_182423] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 3 | MAE: 519.2004, RMSE: 941.9858, PCC: 0.7535, R2: 0.5631
[20260204_182524] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 4 | MAE: 411.7059, RMSE: 793.6572, PCC: 0.8347, R2: 0.6898
[20260204_182606] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 4 | MAE: 411.7059, RMSE: 793.6572, PCC: 0.8347, R2: 0.6898
[20260204_182728] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 5 | MAE: 476.3985, RMSE: 856.0980, PCC: 0.8003, R2: 0.6391
[20260204_182807] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 5 | MAE: 476.3985, RMSE: 856.0980, PCC: 0.8003, R2: 0.6391
[20260204_182916] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 6 | MAE: 590.2373, RMSE: 1019.1834, PCC: 0.6994, R2: 0.4885
[20260204_182958] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 6 | MAE: 590.2373, RMSE: 1019.1834, PCC: 0.6994, R2: 0.4885
[20260204_183108] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 7 | MAE: 478.7255, RMSE: 821.4122, PCC: 0.8275, R2: 0.6678
[20260204_183150] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 7 | MAE: 478.7255, RMSE: 821.4122, PCC: 0.8275, R2: 0.6678
[20260204_183304] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 8 | MAE: 493.9437, RMSE: 860.3392, PCC: 0.7988, R2: 0.6355
[20260204_183346] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 8 | MAE: 493.9437, RMSE: 860.3392, PCC: 0.7988, R2: 0.6355
[20260204_183453] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 9 | MAE: 439.7643, RMSE: 806.4339, PCC: 0.8292, R2: 0.6798
[20260204_183532] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 9 | MAE: 439.7643, RMSE: 806.4339, PCC: 0.8292, R2: 0.6798
[20260204_183801] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 10 | MAE: 496.4575, RMSE: 944.9440, PCC: 0.7629, R2: 0.5603
[20260204_183846] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 5, Ablation: none, Seed: 10 | MAE: 496.4575, RMSE: 944.9440, PCC: 0.7629, R2: 0.5603
[20260204_184038] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seed: 1 | MAE: 600.9575, RMSE: 1038.5692, PCC: 0.6878, R2: 0.4689
[20260204_184123] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seed: 1 | MAE: 600.9575, RMSE: 1038.5692, PCC: 0.6878, R2: 0.4689
[20260204_184457] EpiSIG-Net-V5 | Dataset: region785, Window: 20, Horizon: 10, Ablation: none, Seed: 2 | MAE: 634.3526, RMSE: 1114.9890, PCC: 0.6307, R2: 0.3879
