run_token,family,arm,dataset,horizon,seed,window,ablation,use_adj,sim_mat,target_space,quantiles,n_quantiles,attn_exp,renewal,renewal_lag,gi_fix,level_cap,model_column,n_test,rmse_npz,rmse_csv,has_val,has_quantiles,git_commit,mode,best_epoch,n_params,timestamp,npz_path,ckpt_path,manifest_path,consistency
CNNRNN_Res.australia-covid.w-20.h-14.none.seed-1000,CNNRNN_Res,current,australia-covid,14,1000,20,none,,,,,,,,,,,CNNRNN_Res,112,317.95697,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-14.none.seed-1000.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-14.none.seed-123,CNNRNN_Res,current,australia-covid,14,123,20,none,,,,,,,,,,,CNNRNN_Res,112,336.006683,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-14.none.seed-123.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-14.none.seed-30,CNNRNN_Res,current,australia-covid,14,30,20,none,,,,,,,,,,,CNNRNN_Res,112,324.40564,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-14.none.seed-30.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-14.none.seed-42,CNNRNN_Res,current,australia-covid,14,42,20,none,,,,,,,,,,,CNNRNN_Res,112,371.638153,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-14.none.seed-42.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-14.none.seed-42.oldckpt,CNNRNN_Res,oldckpt,australia-covid,14,42,20,none,,,,,,,,,,,CNNRNN_Res,99,237.533524,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-14.none.seed-42.oldckpt.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-14.none.seed-45,CNNRNN_Res,current,australia-covid,14,45,20,none,,,,,,,,,,,CNNRNN_Res,112,337.939575,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-14.none.seed-45.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-3.none.seed-1000,CNNRNN_Res,current,australia-covid,3,1000,20,none,,,,,,,,,,,CNNRNN_Res,112,85.218788,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-3.none.seed-1000.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-3.none.seed-123,CNNRNN_Res,current,australia-covid,3,123,20,none,,,,,,,,,,,CNNRNN_Res,112,88.948387,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-3.none.seed-123.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-3.none.seed-30,CNNRNN_Res,current,australia-covid,3,30,20,none,,,,,,,,,,,CNNRNN_Res,112,108.338272,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-3.none.seed-30.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-3.none.seed-42,CNNRNN_Res,current,australia-covid,3,42,20,none,,,,,,,,,,,CNNRNN_Res,112,83.75808,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-3.none.seed-42.npz,,,ok
CNNRNN_Res.australia-covid.w-20.h-3.none.seed-42.oldckpt,CNNRNN_Res,oldckpt,australia-covid,3,42,20,none,,,,,,,,,,,CNNRNN_Res,110,126.937447,,False,False,,,,,,report/predictions/australia-covid/CNNRNN_Res.australia-covid.w-20.h-3.none.seed-42.oldckpt.npz,,,ok
