model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
EpiSIG-Net-V3,spain-covid,20,3,no_agam,1,True,20260204_223322,16.933752059936523,76.05634307861328,145.58501999476113,27.88274955749512,0.593238115310669,0.1107909642518139,0.1093876361846923,0.3501254320144653,-3.642689943313599,0.3518342971801758,-1.556005358695984,15.749267578125
MSTAGAT-Net,spain-covid,20,3,no_agam,5,True,20260127_060042,13.074628829956056,57.63934326171875,131.44605892247208,24.07502174377441,0.6884922981262207,0.069003195294779,0.0856363400816917,0.4702252149581909,-1.1031970977783203,0.4710155129432678,-0.2878046035766601,12.030221939086914
EpiSIG-Net-V3,spain-covid,20,3,no_mtfm,1,True,20260204_223436,16.933752059936523,76.05634307861328,145.58501999476113,27.88274955749512,0.593238115310669,0.1107909642518139,0.1093876361846923,0.3501254320144653,-3.642689943313599,0.3518342971801758,-1.556005358695984,15.749267578125
MSTAGAT-Net,spain-covid,20,3,no_mtfm,5,True,20260127_060106,9.239118576049805,53.8207893371582,135.20388972538845,21.41658401489257,0.6955508589744568,0.0818107090532206,0.0585076808929443,0.439501404762268,0.1323941797018051,0.4397081136703491,0.1608429253101349,9.178863525390623
EpiSIG-Net-V5,spain-covid,20,3,no_pprm,1,True,20260204_211349,18.63492012023925,72.66661071777344,148.0449018667985,30.57106590270996,0.6673974990844727,0.0856405242632788,0.1430752426385879,0.3279786109924316,-6.581914901733398,0.3337072134017944,-1.923313975334168,8.137751579284668
MSTAGAT-Net,spain-covid,20,3,no_pprm,5,True,20260127_060135,20.349618911743164,73.46910858154297,164.71112852316628,33.85801315307617,0.4830860495567322,0.1071112000455076,0.1223834007978439,0.1681556105613708,-5.522651672363281,0.1698773503303527,-0.8988681435585022,21.688325881958008
EpiSIG-Net-V3,spain-covid,20,3,none,1,True,20260204_223210,16.933752059936523,76.05634307861328,145.58501999476113,27.88274955749512,0.593238115310669,0.1107909642518139,0.1093876361846923,0.3501254320144653,-3.642689943313599,0.3518342971801758,-1.556005358695984,15.749267578125
EpiSIG-Net-V3,spain-covid,20,3,none,2,True,20260204_141449,14.45678997039795,61.89058303833008,131.87083820447188,25.256553649902344,0.6886340379714966,0.0981160670053213,0.0944931060075759,0.4667956233024597,-2.793018102645874,0.4685161709785461,-0.8613576292991638,11.64400863647461
EpiSIG-Net-V3,spain-covid,20,3,none,3,True,20260204_141516,20.279603958129883,83.70533752441406,149.60917836148957,30.37931632995605,0.636046826839447,0.1269732267380907,0.1577496826648712,0.3137021064758301,-4.999869346618652,0.3199214339256286,-1.0651971101760864,10.040239334106444
EpiSIG-Net-V3,spain-covid,20,3,none,4,True,20260204_141549,16.51930809020996,68.477783203125,139.9253428171609,27.454832077026367,0.643929123878479,0.0995946102596532,0.1038713604211807,0.3996714949607849,-4.500645160675049,0.4010648727416992,-1.7303627729415894,16.204790115356445
EpiSIG-Net-V3,spain-covid,20,3,none,5,True,20260204_141616,19.6880111694336,86.03971862792969,195.82967527611845,35.839927673339844,-0.1687572449445724,0.0820417095808527,0.1086186245083808,-0.1758533716201782,-4.444397449493408,-0.1757998466491699,-1.697789430618286,25.626848220825195
EpiSIG-Net-V3,spain-covid,20,3,none,6,True,20260204_141644,12.121695518493652,64.31982421875,133.7472181369579,23.43463516235352,0.6738299131393433,0.1161592327989637,0.0717857405543327,0.4515138268470764,-1.4635974168777466,0.4520754218101501,-0.9333863854408264,12.675190925598145
EpiSIG-Net-V3,spain-covid,20,3,none,7,True,20260204_141750,15.194413185119627,65.01581573486328,132.795131217225,26.328887939453125,0.6794075965881348,0.0846545344818598,0.0966009348630905,0.459294855594635,-5.758275508880615,0.4609811902046203,-2.947991847991944,12.87613582611084
EpiSIG-Net-V3,spain-covid,20,3,none,8,True,20260204_141827,18.020652770996094,69.51527404785156,178.60691388493336,34.84788513183594,0.1547281146049499,0.0563387544825673,0.0849038437008857,0.0218786597251892,-9.565444946289062,0.022107183933258,-4.322924137115479,23.729236602783203
EpiSIG-Net-V3,spain-covid,20,3,none,9,True,20260204_141844,16.398906707763672,68.33353424072266,132.99696748187532,25.898632049560547,0.6791811585426331,0.1141543613675122,0.1161394864320755,0.4576500058174133,-2.108029842376709,0.4597622752189636,0.0367529392242431,12.571317672729492
EpiSIG-Net-V3,spain-covid,20,3,none,10,True,20260204_141915,13.476903915405272,69.51494598388672,139.03913427296288,24.50779914855957,0.6545868515968323,0.1055326432509061,0.088954359292984,0.4072517156600952,-1.3433353900909424,0.4084425568580627,-0.7154837846755981,11.762979507446287
EpiSIG-Net-V3,spain-covid,20,3,none,20,True,20260203_010114,16.41140365600586,70.77623748779297,141.65598458501498,27.522193908691406,0.6398584842681885,0.0874362887384799,0.0979844331741333,0.3847295641899109,-5.7123236656188965,0.3854773044586181,-2.73771333694458,16.92350196838379
EpiSIG-Net-V3,spain-covid,20,3,none,30,True,20260203_010145,14.730670928955078,66.96276092529297,134.52545356269945,25.533266067504883,0.6798267364501953,0.1156946463653674,0.1009449660778045,0.4451122879981994,-2.845762014389038,0.4469625949859619,-1.2714171409606934,11.167430877685549
