# MSTAGAT-Net Experiment Results
# Format: [Timestamp] Model | Dataset, Window, Horizon, Ablation, Seed | Metrics
# ================================================================================
[20260127_031437] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 16.7397, RMSE: 132.7779, PCC: 0.6840, R2: 0.4594
[20260127_031444] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 15.6284, RMSE: 132.9888, PCC: 0.6787, R2: 0.4577
[20260127_031457] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 17.5915, RMSE: 131.7300, PCC: 0.6942, R2: 0.4679
[20260127_031510] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 15.3491, RMSE: 133.5575, PCC: 0.6835, R2: 0.4531
[20260127_031524] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 1000 | MAE: 16.8600, RMSE: 130.7077, PCC: 0.7009, R2: 0.4762
[20260127_031534] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 15.2940, RMSE: 159.6386, PCC: 0.5307, R2: 0.2186
[20260127_031541] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 30 | MAE: 33.8185, RMSE: 162.6938, PCC: 0.4863, R2: 0.1884
[20260127_031553] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 45 | MAE: 23.0068, RMSE: 159.7662, PCC: 0.5137, R2: 0.2174
[20260127_031605] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 123 | MAE: 28.3077, RMSE: 161.2639, PCC: 0.4968, R2: 0.2026
[20260127_031614] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 1000 | MAE: 33.1837, RMSE: 164.4589, PCC: 0.4738, R2: 0.1707
[20260127_031623] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 14.3371, RMSE: 166.4466, PCC: 0.3886, R2: 0.1505
[20260127_031642] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 30 | MAE: 33.8704, RMSE: 174.5764, PCC: 0.3244, R2: 0.0655
[20260127_031651] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 45 | MAE: 59.7576, RMSE: 194.5666, PCC: 0.2957, R2: -0.1607
[20260127_031658] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 123 | MAE: 19.8419, RMSE: 166.9920, PCC: 0.3857, R2: 0.1450
[20260127_031705] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 1000 | MAE: 55.2234, RMSE: 205.8646, PCC: 0.1716, R2: -0.2994
[20260127_060015] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 16.7397, RMSE: 132.7779, PCC: 0.6840, R2: 0.4594
[20260127_060025] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 15.2940, RMSE: 159.6386, PCC: 0.5307, R2: 0.2186
[20260127_060034] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 14.3371, RMSE: 166.4466, PCC: 0.3886, R2: 0.1505
[20260127_060042] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: no_agam, Seed: 5 | MAE: 13.0746, RMSE: 131.4461, PCC: 0.6885, R2: 0.4702
[20260127_060049] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: no_agam, Seed: 5 | MAE: 25.8954, RMSE: 157.7884, PCC: 0.5081, R2: 0.2366
[20260127_060059] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: no_agam, Seed: 5 | MAE: 48.4193, RMSE: 195.5196, PCC: 0.2387, R2: -0.1721
[20260127_060106] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: no_mtfm, Seed: 5 | MAE: 9.2391, RMSE: 135.2039, PCC: 0.6956, R2: 0.4395
[20260127_060115] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: no_mtfm, Seed: 5 | MAE: 28.0920, RMSE: 165.2776, PCC: 0.5051, R2: 0.1624
[20260127_060126] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: no_mtfm, Seed: 5 | MAE: 38.1665, RMSE: 195.4581, PCC: 0.2062, R2: -0.1714
[20260127_060135] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: no_pprm, Seed: 5 | MAE: 20.3496, RMSE: 164.7111, PCC: 0.4831, R2: 0.1682
[20260127_060146] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: no_pprm, Seed: 5 | MAE: 43.5191, RMSE: 178.3911, PCC: 0.2710, R2: 0.0242
[20260127_060156] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: no_pprm, Seed: 5 | MAE: 58.5449, RMSE: 207.5721, PCC: 0.0958, R2: -0.3211
[20260201_220300] EpiDelay-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 42 | MAE: 23.7232, RMSE: 160.4456, PCC: 0.5491, R2: 0.2107
[20260201_220342] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 42 | MAE: 24.6058, RMSE: 162.3278, PCC: 0.5199, R2: 0.1921
[20260201_221043] EpiDelay-Net-Full | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 42 | MAE: 34.8398, RMSE: 180.7215, PCC: 0.5065, R2: -0.0014
[20260201_221952] EpiDelay-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 12.2856, RMSE: 132.0953, PCC: 0.6881, R2: 0.4650
[20260201_221954] EpiDelay-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 31.8825, RMSE: 177.0846, PCC: 0.5201, R2: 0.0385
[20260201_222034] EpiDelay-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 36.2161, RMSE: 194.0425, PCC: 0.3778, R2: -0.1545
[20260201_222404] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 17.7348, RMSE: 134.7107, PCC: 0.6731, R2: 0.4436
[20260201_222903] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 16.1208, RMSE: 166.3062, PCC: 0.3905, R2: 0.1520
[20260201_222903] MSTAGAT-Net | Dataset: spain-covid, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 28.5351, RMSE: 160.8467, PCC: 0.5013, R2: 0.2067
[20260202_174545] EpiSIG-Net | Dataset: spain-covid, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 18.6686, RMSE: 141.2985, PCC: 0.6904, R2: 0.3878
