model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
EpiSIG-Net,state360,20,2,none,5,True,20260202_230359,51.06782531738281,62.2212142944336,132.5603636084331,82.3390884399414,0.9547026753425598,0.861567497253418,0.0009990824619308,0.9110562801361084,0.7027155160903931,0.9110570549964904,0.7151769399642944,98.07571411132812
EpiSIG-Net,state360,20,2,none,10,True,20260202_230544,52.63348388671875,62.94550323486328,136.52667579313942,84.95552825927734,0.9516614079475404,0.8683837652206421,0.0020497480873018,0.9056540727615356,0.6441942453384399,0.9056594371795654,0.7109503746032715,98.66018676757812
EpiSIG-Net,state360,20,2,none,20,True,20260202_230819,54.18584442138672,63.09086608886719,139.79090831264742,88.2729721069336,0.949289321899414,0.857054591178894,0.002381709869951,0.9010887145996094,0.6651901602745056,0.9011461734771729,0.7039301991462708,103.29041290283205
EpiSIG-Net,state360,20,2,none,30,True,20260202_231015,51.43360137939453,61.760719299316406,131.0254105245429,83.27223205566406,0.9558542966842652,0.872113823890686,0.001403763773851,0.9131041169166564,0.6526176929473877,0.913115620613098,0.6951643228530884,97.18394470214844
EpiSIG-Net,state360,20,2,none,42,True,20260202_231258,57.722957611083984,71.03413391113281,147.0029429446057,90.4871063232422,0.945005178451538,0.8590354919433594,0.0028523583896458,0.8906194567680359,0.6355201005935669,0.8907459378242493,0.6933116316795349,107.57587432861328
EpiSIG-Net,state360,20,2,none,45,True,20260202_231812,51.42001724243164,60.43951034545898,133.50021213700373,83.4565658569336,0.9538457989692688,0.861583411693573,0.001829472836107,0.909790575504303,0.663770854473114,0.9098188281059264,0.7107117176055908,97.77569580078124
EpiSIG-Net,state360,20,2,none,100,True,20260202_232242,54.85393524169922,62.94135665893555,136.37787147526905,87.59797668457031,0.9518085718154908,0.8609936237335205,0.0023698916193097,0.905859649181366,0.6144558191299438,0.905859649181366,0.688361644744873,103.84040069580078
EpiSIG-Net,state360,20,2,none,123,True,20260202_232611,54.50314712524414,63.42989730834961,137.60819606767615,87.29216003417969,0.9510409235954284,0.8547029495239258,0.0024797560181468,0.9041534066200256,0.6251309514045715,0.9041690826416016,0.6943919658660889,102.07391357421876
EpiSIG-Net,state360,20,2,none,500,True,20260202_232918,53.52665710449219,64.1788330078125,135.44634690764087,85.1688232421875,0.9525031447410583,0.8591774106025696,0.0019948615226894,0.9071413278579712,0.6744320392608643,0.9071413278579712,0.7054783701896667,99.9732894897461
EpiSIG-Net,state360,20,2,none,1000,True,20260202_233220,61.660762786865234,72.90116119384766,154.9395232320501,97.9195556640625,0.9378552436828612,0.8369560241699219,0.0026922354009002,0.8784899115562439,0.5462865829467773,0.8784917593002319,0.6382488012313843,116.37310791015624
EpiSIG-Net-V3,state360,20,3,no_agam,1,True,20260205_001851,72.40126037597656,84.56243133544922,169.6854569398185,109.48375701904295,0.9274975061416626,0.7924351096153259,0.0032422344665974,0.8542605042457581,0.2008067667484283,0.855545699596405,0.4412030577659607,126.79584503173828
MSTAGAT-Net,state360,20,3,no_agam,5,False,20260127_055037,65.99571990966797,77.60102081298828,168.34285374274134,106.88833618164062,0.9261837601661682,0.812949538230896,0.0023456455674022,0.8565576672554016,0.1385144591331482,0.856920599937439,0.4212414026260376,121.2384262084961
EpiSIG-Net-V3,state360,20,3,no_mtfm,1,True,20260205_002054,72.40126037597656,84.56243133544922,169.6854569398185,109.48375701904295,0.9274975061416626,0.7924351096153259,0.0032422344665974,0.8542605042457581,0.2008067667484283,0.855545699596405,0.4412030577659607,126.79584503173828
MSTAGAT-Net,state360,20,3,no_mtfm,5,False,20260127_055207,65.98285675048828,75.64618682861328,163.44204104590105,106.49569702148438,0.9314498901367188,0.759893000125885,0.0028785662725567,0.8647878766059875,0.3508554100990295,0.865898072719574,0.4466602802276611,124.59880828857422
EpiSIG-Net-V3,state360,20,3,no_pprm,1,True,20260205_002258,72.40126037597656,84.56243133544922,169.6854569398185,109.48375701904295,0.9274975061416626,0.7924351096153259,0.0032422344665974,0.8542605042457581,0.2008067667484283,0.855545699596405,0.4412030577659607,126.79584503173828
MSTAGAT-Net,state360,20,3,no_pprm,5,False,20260127_055404,73.15728759765625,87.57964324951172,183.2934165825385,116.07451629638672,0.9116085171699524,0.777177095413208,0.0022663350682705,0.8299480080604553,0.4078767597675323,0.8307821750640869,0.4928373694419861,137.6956024169922
EpiSIG-Net-V3,state360,20,3,none,1,True,20260205_001647,72.40126037597656,84.56243133544922,169.6854569398185,109.48375701904295,0.9274975061416626,0.7924351096153259,0.0032422344665974,0.8542605042457581,0.2008067667484283,0.855545699596405,0.4412030577659607,126.79584503173828
EpiSIG-Net-V3,state360,20,3,none,2,True,20260204_202232,67.29729461669922,84.10163879394531,177.41574805030697,108.7071304321289,0.9169129133224488,0.7762707471847534,0.0024270217400044,0.8406792879104614,0.4019203186035156,0.8407211303710938,0.5172707438468933,126.50648498535156
EpiSIG-Net-V3,state360,20,3,none,3,True,20260204_202351,68.96623992919922,83.95694732666016,171.48628771712333,107.13831329345705,0.9231626391410828,0.8113043904304504,0.0023788469843566,0.8511506915092468,0.2505175769329071,0.851418137550354,0.4566214084625244,123.5767059326172
EpiSIG-Net-V3,state360,20,3,none,4,True,20260204_202445,71.71097564697266,86.259765625,172.44761432823591,109.18059539794922,0.923794448375702,0.8057643175125122,0.0030440217815339,0.8494771718978882,0.2430721521377563,0.8498890995979309,0.4397586584091186,126.6759796142578
MSTAGAT-Net,state360,20,3,none,5,False,20260127_054809,66.19727325439453,73.34648132324219,161.60668520554773,105.49226379394533,0.9323636889457704,0.7960405945777893,0.0025663522537797,0.8678075671195984,0.0752854570746421,0.8678725361824036,0.3907380700111389,115.92576599121094
EpiSIG-Net-V3,state360,20,3,none,5,True,20260204_202545,75.21627807617188,86.795654296875,175.40916452682853,113.09012603759766,0.920357584953308,0.8036625981330872,0.0047369711101055,0.8442627191543579,0.1795799285173416,0.8446314930915833,0.5103378891944885,131.72885131835938
EpiSIG-Net-V3,state360,20,3,none,6,True,20260204_202632,68.52284240722656,86.34971618652344,177.01597738622354,107.9527587890625,0.9184539318084716,0.7870596051216125,0.00297831161879,0.8413964509963989,0.3903856873512268,0.8415217399597168,0.5170276165008545,124.71434783935548
EpiSIG-Net-V3,state360,20,3,none,7,True,20260204_202742,68.2264175415039,83.7603988647461,171.38537076571035,107.23016357421876,0.9232701659202576,0.7980077862739563,0.0024706763215363,0.8513258695602417,0.4406387507915497,0.8514043688774109,0.5447275042533875,125.9540786743164
EpiSIG-Net-V3,state360,20,3,none,8,True,20260204_202933,72.53853607177734,93.51568603515624,186.30256179465167,112.99348449707033,0.9099238514900208,0.7709426879882812,0.0028445580974221,0.8243186473846436,0.2934041321277618,0.8245553970336914,0.4569976329803467,132.92428588867188
EpiSIG-Net-V3,state360,20,3,none,9,True,20260204_203026,69.77562713623047,87.68380737304688,174.60667853063353,108.22930145263672,0.9261329174041748,0.8140361309051514,0.0023021621163934,0.8456844091415405,0.2679677903652191,0.846947193145752,0.4605619609355926,129.18191528320312
EpiSIG-Net-V3,state360,20,3,none,10,True,20260204_203210,70.35503387451172,86.45624542236328,177.7814614825601,110.93160247802734,0.9185940623283386,0.7789734601974487,0.0029490154702216,0.8400217294692993,0.344666451215744,0.8402738571166992,0.4861701726913452,128.84161376953125
MSTAGAT-Net,state360,20,3,none,30,False,20260127_025634,68.25116729736328,76.61417388916016,165.01460044303656,107.1415786743164,0.9291958808898926,0.7906064391136169,0.0034557655453681,0.8621734976768494,0.0650970339775085,0.862174928188324,0.4251216948032379,118.32394409179688
MSTAGAT-Net,state360,20,3,none,42,True,20260209_093414,66.12968444824219,76.81632995605469,162.90566552264227,104.19598388671876,0.9362401962280272,0.8313166499137878,0.0041611301712691,0.8763109445571899,0.0661709308624267,0.8764917254447937,0.3633505702018738,123.47457885742188
