# MSTAGAT-Net Experiment Results
# Format: [Timestamp] Model | Dataset, Window, Horizon, Ablation, Seed | Metrics
# ================================================================================
[20260127_025607] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 66.1973, RMSE: 161.6067, PCC: 0.9324, R2: 0.8678
[20260127_025634] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 68.2512, RMSE: 165.0146, PCC: 0.9292, R2: 0.8622
[20260127_025654] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 68.1073, RMSE: 158.6133, PCC: 0.9346, R2: 0.8727
[20260127_025736] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 74.0850, RMSE: 177.2552, PCC: 0.9173, R2: 0.8410
[20260127_025805] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: none, Seed: 1000 | MAE: 73.4114, RMSE: 185.3970, PCC: 0.9097, R2: 0.8260
[20260127_025853] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 5 | MAE: 90.9765, RMSE: 212.8853, PCC: 0.8855, R2: 0.7706
[20260127_025941] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 30 | MAE: 98.2054, RMSE: 239.6498, PCC: 0.8494, R2: 0.7093
[20260127_030003] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 45 | MAE: 78.6120, RMSE: 181.4863, PCC: 0.9129, R2: 0.8333
[20260127_030033] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 123 | MAE: 92.7987, RMSE: 215.5323, PCC: 0.8799, R2: 0.7649
[20260127_030105] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 1000 | MAE: 88.2096, RMSE: 208.5619, PCC: 0.8841, R2: 0.7798
[20260127_030145] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 5 | MAE: 121.9008, RMSE: 289.2053, PCC: 0.7720, R2: 0.5766
[20260127_030249] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 30 | MAE: 122.4996, RMSE: 265.5040, PCC: 0.8209, R2: 0.6432
[20260127_030335] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 45 | MAE: 114.4475, RMSE: 245.9221, PCC: 0.8582, R2: 0.6939
[20260127_030426] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 123 | MAE: 112.5740, RMSE: 251.6402, PCC: 0.8343, R2: 0.6795
[20260127_030508] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 1000 | MAE: 103.6884, RMSE: 239.4741, PCC: 0.8479, R2: 0.7097
[20260127_030554] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 15, Ablation: none, Seed: 5 | MAE: 112.3770, RMSE: 256.4851, PCC: 0.8174, R2: 0.6670
[20260127_030630] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 15, Ablation: none, Seed: 30 | MAE: 102.6300, RMSE: 229.8745, PCC: 0.8567, R2: 0.7325
[20260127_030719] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 15, Ablation: none, Seed: 45 | MAE: 112.9387, RMSE: 248.1240, PCC: 0.8321, R2: 0.6884
[20260127_030804] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 15, Ablation: none, Seed: 123 | MAE: 114.1181, RMSE: 252.0570, PCC: 0.8363, R2: 0.6784
[20260127_030840] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 15, Ablation: none, Seed: 1000 | MAE: 121.9155, RMSE: 261.8993, PCC: 0.8147, R2: 0.6528
[20260127_054809] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 66.1973, RMSE: 161.6067, PCC: 0.9324, R2: 0.8678
[20260127_054902] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 112.0305, RMSE: 251.9562, PCC: 0.8592, R2: 0.6787
[20260127_055005] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 112.0034, RMSE: 269.6550, PCC: 0.7975, R2: 0.6320
[20260127_055037] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: no_agam, Seed: 5 | MAE: 65.9957, RMSE: 168.3429, PCC: 0.9262, R2: 0.8566
[20260127_055105] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 7, Ablation: no_agam, Seed: 5 | MAE: 116.6168, RMSE: 278.2192, PCC: 0.7883, R2: 0.6082
[20260127_055127] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 14, Ablation: no_agam, Seed: 5 | MAE: 109.5531, RMSE: 246.6338, PCC: 0.8350, R2: 0.6921
[20260127_055207] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: no_mtfm, Seed: 5 | MAE: 65.9829, RMSE: 163.4420, PCC: 0.9314, R2: 0.8648
[20260127_055242] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 7, Ablation: no_mtfm, Seed: 5 | MAE: 99.0665, RMSE: 219.6458, PCC: 0.8750, R2: 0.7558
[20260127_055326] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 14, Ablation: no_mtfm, Seed: 5 | MAE: 118.9379, RMSE: 263.1464, PCC: 0.8103, R2: 0.6495
[20260127_055404] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: no_pprm, Seed: 5 | MAE: 73.1573, RMSE: 183.2934, PCC: 0.9116, R2: 0.8299
[20260127_055438] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 7, Ablation: no_pprm, Seed: 5 | MAE: 102.4579, RMSE: 242.2690, PCC: 0.8532, R2: 0.7029
[20260127_055538] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 14, Ablation: no_pprm, Seed: 5 | MAE: 120.5115, RMSE: 270.0255, PCC: 0.8145, R2: 0.6309

#================================================================================
# AVERAGED RESULTS (Mean ± Std across all seeds)
#================================================================================
[AVERAGE] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 3, Ablation: none, Seeds: [5, 30, 45, 123, 1000] | MAE: 70.0104±3.1441, RMSE: 169.5774±10.1368, PCC: 0.9246±0.0096, R2: 0.8539±0.0177
[AVERAGE] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seeds: [5, 30, 45, 123, 1000] | MAE: 89.7605±6.4609, RMSE: 211.6231±18.5471, PCC: 0.8824±0.0202, R2: 0.7716±0.0395
[AVERAGE] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seeds: [5, 30, 45, 123, 1000] | MAE: 115.0220±6.8994, RMSE: 258.3491±17.6579, PCC: 0.8266±0.0301, R2: 0.6606±0.0474
[AVERAGE] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 15, Ablation: none, Seeds: [5, 30, 45, 123, 1000] | MAE: 112.7959±6.1393, RMSE: 249.6880±10.9174, PCC: 0.8314±0.0151, R2: 0.6838±0.0271
[20260202_202727] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 5 | MAE: 61.7123, RMSE: 145.1823, PCC: 0.9452, R2: 0.8933
[20260202_203136] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 10 | MAE: 63.4304, RMSE: 150.6447, PCC: 0.9411, R2: 0.8851
[20260202_203337] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 20 | MAE: 61.4868, RMSE: 143.1761, PCC: 0.9469, R2: 0.8962
[20260202_203643] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 30 | MAE: 56.5658, RMSE: 134.6785, PCC: 0.9532, R2: 0.9082
[20260202_203854] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 42 | MAE: 56.6431, RMSE: 132.6285, PCC: 0.9551, R2: 0.9110
[20260202_204926] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 45 | MAE: 58.2492, RMSE: 136.1532, PCC: 0.9520, R2: 0.9062
[20260202_205617] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 100 | MAE: 58.5548, RMSE: 134.1135, PCC: 0.9537, R2: 0.9090
[20260202_210439] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 123 | MAE: 59.7236, RMSE: 151.6329, PCC: 0.9406, R2: 0.8836
[20260202_210725] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 500 | MAE: 54.1246, RMSE: 133.6350, PCC: 0.9539, R2: 0.9096
[20260202_211021] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 2, Ablation: none, Seed: 1000 | MAE: 51.9080, RMSE: 128.3465, PCC: 0.9575, R2: 0.9166
[20260202_211249] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 5 | MAE: 93.6596, RMSE: 214.8083, PCC: 0.8830, R2: 0.7664
[20260202_211431] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 10 | MAE: 91.2252, RMSE: 205.3542, PCC: 0.8936, R2: 0.7866
[20260202_211749] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 20 | MAE: 100.5077, RMSE: 217.4111, PCC: 0.8794, R2: 0.7608
[20260202_212036] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 30 | MAE: 87.5726, RMSE: 209.7039, PCC: 0.8824, R2: 0.7774
[20260202_212511] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 42 | MAE: 95.1385, RMSE: 222.3582, PCC: 0.8706, R2: 0.7497
[20260202_212826] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 45 | MAE: 95.6769, RMSE: 218.6152, PCC: 0.8877, R2: 0.7581
[20260202_213136] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 100 | MAE: 97.8957, RMSE: 219.9542, PCC: 0.8701, R2: 0.7551
[20260202_213504] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 123 | MAE: 96.0941, RMSE: 211.6734, PCC: 0.8938, R2: 0.7732
[20260202_213846] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 500 | MAE: 91.4431, RMSE: 201.3849, PCC: 0.8919, R2: 0.7947
[20260202_214208] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 5, Ablation: none, Seed: 1000 | MAE: 96.0792, RMSE: 225.1597, PCC: 0.8625, R2: 0.7434
[20260202_214620] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 5 | MAE: 106.8410, RMSE: 233.2544, PCC: 0.8624, R2: 0.7246
[20260202_214926] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 10 | MAE: 101.8843, RMSE: 235.4074, PCC: 0.8489, R2: 0.7195
[20260202_215307] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 20 | MAE: 117.1268, RMSE: 260.0790, PCC: 0.8161, R2: 0.6576
[20260202_215741] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 30 | MAE: 109.9936, RMSE: 246.8589, PCC: 0.8373, R2: 0.6915
[20260202_220251] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 42 | MAE: 104.9628, RMSE: 235.8013, PCC: 0.8504, R2: 0.7186
[20260202_220858] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 45 | MAE: 112.1593, RMSE: 255.4921, PCC: 0.8347, R2: 0.6696
[20260202_221250] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 100 | MAE: 110.1464, RMSE: 259.8601, PCC: 0.8143, R2: 0.6582
[20260202_221755] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 123 | MAE: 101.3082, RMSE: 225.3588, PCC: 0.8688, R2: 0.7429
[20260202_222242] MSTAGAT-Net | Dataset: state360, Window: 20, Horizon: 10, Ablation: none, Seed: 500 | MAE: 104.4653, RMSE: 238.7709, PCC: 0.8444, R2: 0.7114
