model,dataset,window,horizon,timestamp,loss,mae,std_mae,rmse,rmse_states,pcc,pcc_states,mape,r2,r2_states,var,var_states,peak_mae
MSAGATNet,japan,20,5,20250403_163115,2.5086023968860523e-05,391.33163,361.2039,1150.2022648212792,828.81244,0.8628591473474813,0.8839625129050892,0.029692659375,0.6858197572372557,0.7130993484335834,0.6883733868598938,0.7203239646363766,306.58957
MSAGATNet,japan,20,10,20250403_163829,4.439977980893494e-05,495.3038024902344,419.7749938964844,1370.3673321412766,1014.8270263671876,0.8224813463173131,0.8266707789050881,0.0555286125,0.5540312530002333,0.5485892394229703,0.5627170205116272,0.5688190891387614,388.0406494140625
MSAGATNet,japan,20,10,20250403_165903,3.126964192193949e-05,419.4920959472656,354.5315246582031,1250.5946585524823,924.6132202148438,0.8491172125656519,0.8545022581971804,0.024997409375,0.6285814155163998,0.6257383273203612,0.6379302144050598,0.6482824594416516,361.6604614257813
MSAGATNet,japan,20,5,20250403_170334,2.042319634580172e-05,358.79461669921875,314.6855163574219,1105.4445938173474,799.6578979492188,0.8934105017408576,0.9091663293167828,0.03219256875,0.7097953285158698,0.7295024437217973,0.7160574197769165,0.7455514276281316,297.7900085449219
MSAGATNet,japan,20,5,20250403_170828,2.2564155781847304e-05,387.3566284179688,341.0614318847656,1186.9511363152235,858.9785766601562,0.8825211734397408,0.8983319641608422,0.06160550625,0.6654229873769333,0.6858747099819396,0.6730417013168335,0.7041071678729768,312.5979309082031
MSAGATNet,japan,20,10,20250403_171140,3.939713705274472e-05,475.1306457519531,397.5631408691406,1400.0187945167022,1035.764404296875,0.8382881627460514,0.847183388916479,0.050039446875,0.5345230128439772,0.5289656219674963,0.5497993230819702,0.5624544772695987,396.5735168457031
MSAGATNet,japan,20,10,20250403_171516,3.403172068195955e-05,446.3832702636719,371.6050415039063,1321.148506035563,984.4634399414062,0.8531766630839489,0.8499038324545948,0.0329743625,0.5854912512818934,0.5715188277101884,0.603864312171936,0.6104269560347212,389.6725463867188
MSAGATNet,japan,20,5,20250403_171810,1.924516559553001e-05,369.6559753417969,320.8439025878906,1063.6932711077943,775.3009643554688,0.8973378177225131,0.9107541036093724,0.05044475,0.731302710238747,0.7445760612379242,0.7404242753982544,0.7657241694470669,292.0126037597656
MSAGATNet,japan,20,15,20250403_172517,4.436159589004221e-05,553.3118286132812,460.1828918457031,1445.2996661592365,1077.105224609375,0.736912987342487,0.7455805493602692,0.061835275,0.5039262895342393,0.4889612168900255,0.5052692890167236,0.5011627471193354,380.9373474121094
MSAGATNet,japan,20,3,20250403_173651,2.100696518786984e-05,430.0360107421875,376.02276611328125,1100.0718158374934,804.5824584960938,0.8848350103056608,0.8994230335704253,0.106199025,0.7126093980688375,0.7231415394673385,0.7158766984939575,0.7361736043970636,303.9490966796875
