model,dataset,window,horizon,timestamp,loss,mae,std_mae,rmse,rmse_states,pcc,pcc_states,r2,r2_states,peak_mae
MSTAGAT-Net,japan,20,5,20250422_212222,2.462823499935814e-05,412.81793,381.70224,1193.7201828736918,855.6903,0.8478966626031113,0.8746165239174305,0.6615959772583803,0.6964233764234581,310.50342
MSTAGAT-Net,japan,20,5,20250422_214432,2.155108633286036e-05,366.253662109375,337.9020080566406,1125.9278396060736,807.5603637695312,0.8683789009007952,0.8913852862715476,0.6989410357485726,0.7284247132901405,291.3881530761719
MSTAGAT-Net,japan,20,5,20250422_214956,2.462823499935814e-05,412.8179321289063,381.7022399902344,1193.7201828736918,855.6903076171875,0.8478966626031113,0.8746165239174305,0.6615959772583803,0.6964233764234581,310.50341796875
MSTAGAT-Net,japan,20,5,20250422_215751,2.2176073322953936e-05,396.6665954589844,356.6533508300781,1144.2537415276386,827.5154418945312,0.8693127743981763,0.8861511252757182,0.6890610740984991,0.7093399683905095,299.61688232421875
MSTAGAT-Net,japan,20,5,20250422_220151,2.155108633286036e-05,366.253662109375,337.9020080566406,1125.9278396060736,807.5603637695312,0.8683789009007952,0.8913852862715476,0.6989410357485726,0.7284247132901405,291.3881530761719
MSTAGAT-Net,japan,20,5,20250422_224021,2.155108633286036e-05,366.253662109375,337.9020080566406,1125.9278396060736,807.5603637695312,0.8683789009007952,0.8913852862715476,0.6989410357485726,0.7284247132901405,291.3881530761719
MSTAGAT-Net,japan,20,5,20250423_144815,2.155108633286036e-05,366.253662109375,337.9020080566406,1125.9278396060736,807.5603637695312,0.8683789009007952,0.8913852862715476,0.6989410357485726,0.7284247132901405,291.3881530761719
MSTAGAT-Net,japan,20,5,20250424_220412,2.2176073322953936e-05,396.6665954589844,356.6533508300781,1144.2537415276386,827.5154418945312,0.8693127743981763,0.8861511252757182,0.6890610740984991,0.7093399683905095,299.61688232421875
MSTAGAT-Net,japan,20,5,20250424_220920,2.256339562635986e-05,408.2855529785156,367.5338745117188,1148.889028583701,829.4999389648438,0.8694110402331616,0.8907122696988894,0.6865367669409213,0.7132484990005713,302.5042724609375
MSTAGAT-Net,japan,20,5,20250424_221134,5.620910117087514e-06,431.8276062011719,396.4941711425781,1205.7642286118792,863.7803344726562,0.8325731218072567,0.8619654222264227,0.6547328481773284,0.6909484674065585,312.4715881347656
MSTAGAT-Net,japan,20,5,20250424_221640,2.72731981056213e-05,434.2367858886719,397.55316162109375,1250.702202764511,897.4541015625,0.8351574239764947,0.8645768032103622,0.6285175810181558,0.6647302210860299,323.1048583984375
MSTAGAT-Net,japan,20,5,20250424_222019,2.256339562635986e-05,408.2855529785156,367.5338745117188,1148.889028583701,829.4999389648438,0.8694110402331616,0.8907122696988894,0.6865367669409213,0.7132484990005713,302.5042724609375
MSTAGAT-Net,japan,20,5,20250424_222343,2.256339562635986e-05,408.2855529785156,367.5338745117188,1148.889028583701,829.4999389648438,0.8694110402331616,0.8907122696988894,0.6865367669409213,0.7132484990005713,302.5042724609375
MSTAGAT-Net,japan,20,5,20250424_222558,2.256339562635986e-05,408.2855529785156,367.5338745117188,1148.889028583701,829.4999389648438,0.8694110402331616,0.8907122696988894,0.6865367669409213,0.7132484990005713,302.5042724609375
MSTAGAT-Net,japan,20,5,20250424_223149,2.2176073322953936e-05,396.6665954589844,356.6533508300781,1144.2537415276386,827.5154418945312,0.8693127743981763,0.8861511252757182,0.6890610740984991,0.7093399683905095,299.61688232421875
MSTAGAT-Net,japan,20,5,20250424_223809,2.155108633286036e-05,366.253662109375,337.9020080566406,1125.9278396060736,807.5603637695312,0.8683789009007952,0.8913852862715476,0.6989410357485726,0.7284247132901405,291.3881530761719
MSTAGAT-Net,japan,20,5,20250424_225130,2.2176073322953936e-05,396.6665954589844,356.6533508300781,1144.2537415276386,827.5154418945312,0.8693127743981763,0.8861511252757182,0.6890610740984991,0.7093399683905095,299.61688232421875
MSTAGAT-Net,japan,20,5,20250424_225722,2.155108633286036e-05,366.253662109375,337.9020080566406,1125.9278396060736,807.5603637695312,0.8683789009007952,0.8913852862715476,0.6989410357485726,0.7284247132901405,291.3881530761719
MSTAGAT-Net,japan,20,5,20250424_230029,2.313544194090436e-05,405.813232421875,371.9044494628906,1170.9616240509336,840.5604858398438,0.8603601472709428,0.8846860469199915,0.6743764885508949,0.7057785906811568,303.7692565917969
MSTAGAT-Net,japan,20,5,20250424_232647,2.1293303309331187e-05,364.9938659667969,341.7424621582031,1109.607194010565,798.0517578125,0.8713876414989565,0.8911407916731945,0.7076056311144993,0.734909425185793,302.1625671386719
MSTAGAT-Net,japan,20,5,20250424_233409,2.067934319739284e-05,368.41119384765625,335.10699462890625,1089.9777520665273,787.6171264648438,0.8745307777338462,0.8916534041168029,0.7178593101954929,0.7384113035166816,293.2069091796875
MSTAGAT-Net,japan,20,5,20250424_234343,2.165452271450798e-05,374.894287109375,337.3392944335937,1118.758240193117,810.1539306640625,0.88469383235302,0.9017268294113012,0.7027629779516633,0.7233475726427093,295.6792297363281
MSTAGAT-Net,japan,20,5,20250424_234801,2.165452271450798e-05,374.894287109375,337.3392944335937,1118.758240193117,810.1539306640625,0.88469383235302,0.9017268294113012,0.7027629779516633,0.7233475726427093,295.6792297363281
MSTAGAT-Net,japan,20,5,20250425_000416,2.067934319739284e-05,368.41119384765625,335.10699462890625,1089.9777520665273,787.6171264648438,0.8745307777338462,0.8916534041168029,0.7178593101954929,0.7384113035166816,293.2069091796875
MSTAGAT-Net,japan,20,5,20250425_001624,2.165452271450798e-05,374.894287109375,337.3392944335937,1118.758240193117,810.1539306640625,0.88469383235302,0.9017268294113012,0.7027629779516633,0.7233475726427093,295.6792297363281
MSTAGAT-Net,japan,20,5,20250425_141413,2.165452271450798e-05,374.894287109375,337.3392944335937,1118.758240193117,810.1539306640625,0.88469383235302,0.9017268294113012,0.7027629779516633,0.7233475726427093,295.6792297363281
MSTAGAT-Net,japan,20,5,20250425_141827,2.165452271450798e-05,374.894287109375,337.3392944335937,1118.758240193117,810.1539306640625,0.88469383235302,0.9017268294113012,0.7027629779516633,0.7233475726427093,295.6792297363281
MSTAGAT-Net,japan,20,5,20250426_151928,2.027284190022852e-05,377.2692260742188,334.78631591796875,1079.810400024004,782.3619384765625,0.8855555653572083,0.9020813703536988,0.7230983972549438,0.7409501671791077,280.9549560546875
MSTAGAT-Net,japan,20,5,20250426_153239,2.1612402459789584e-05,386.3859558105469,343.8193054199219,1137.054308289626,824.385498046875,0.876011848449707,0.8909175992012024,0.6929614543914795,0.7102335095405579,293.2348022460937
MSTAGAT-Net,japan,20,5,20250426_155857,2.1612402459789584e-05,386.3859558105469,343.8193054199219,1137.054308289626,824.385498046875,0.876011848449707,0.8909175992012024,0.6929614543914795,0.7102335095405579,1092.1612548828125
MSTAGAT-Net,japan,20,5,20250426_161700,2.0665698566803334e-05,415.947021484375,367.1204528808594,1087.5286203130472,788.0997314453125,0.88509601354599,0.9062891006469727,0.7191257476806641,0.7381409406661987,1033.7044677734375
